ID,HashTags,TweetText,mentions_other,User,ritter_candidates,calai_candidates,stanford_candidates
28,,@mcspocky Looks like Carter Page will be one of the first dominoes to fall. The Syria strike was a distraction away from . Stay focused,Carter Page;Syria strike;,JrgLaw,"carter page,syria","['carter page', 'syria']","carter page,syria"
29,,FBI secured FISA warrant against Carter Page over concerns he was 'was acting as an agent' of Russia | Raw Story,"FBI,FISA,Carter Page,Russia",blazinbabs67,"carter page,russia","['russia', 'fbi', 'carter page']","fbi,fisa,carter page,russia"
30,_flanders,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in...  by  via @c0nvey,"FBI,FISA,Trump,Carter Page",Sparblack1213,"fbi,trump,carter page","['adviser', 'fbi', 'carter page']","fbi,fisa,trump"
31,,@seanhannity what about this spy...,,pigs_wing,,['this spy'],
32,,Oh you don't say?,,DixiDoodle,,[],
33,,@FoxNews @dkrwilliams @oreillyfactor WaPo: FBI wiretapped Trump sorta-adviser Carter Page in 2016. 'Only  American directly targeted with FISA warrant' by Dems &amp; Obama!,"FBI,Trump,Carter Page; American,FISA,Dems,Obama",glennyork,"fbi,carter page,fisa,dems,obama","['carter page', 'fbi']","fbi,trump"
34,,carter page you dumbass. c'mon carter. get a clue carter page,Carter Page;carter;carter page,LydiaBurrell,"carter page,carter,carter page","['carter page', 'carter page']",
35,,Well at least this takes the heat off @PressSec,,LisaBednarski,,[],
36,,But Carter Page was Manafort's biz partner so he could have been caught in the surveillance,"Carter Page,Manafort",omyword,carter page,['carter page'],carter page
37,,Most delicious part of the WaPo Carter Page story.,"WaPo,Carter Page",HaroldItz,carter page,[],wapo
38,,FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post,"FBI,FISA,Trump,Carter Page,Washington Post",RadioChio,"fbi,trump,carter page,the washington post","['adviser', 'the washington post', 'the washington post', 'fbi', 'carter page']","fbi,fisa,trump,washington post"
39,inners,"So what will be the fate of Carter Page? Will he be mysteriously poisoned or accidentally ""fall"" out of a 4th-story window?",Carter Page;,MeLoseBrainUhOh,carter page,"['carter page', 'he']",carter
40,TrumpRussia,We now return to or regularly scheduled program.,,RyGil01,,[],
41,,"Drips become waterfall, part I.",,charnesshartman,,[],
42,,and again a bang up job by jim comey letting the public know who was under investigation last summer,jim comey,marcushjohnson,jim,[],
43,"TrumpRussia, TheResistance","@ funder  
",,NoAltFacts1984,,[],
44,sarahsettgo,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page...  by  via @c0nvey,"FBI,FISA,Trump,Carter Page;",StonZMGMT,"fbi,trump,carter page","['fbi', 'trump adviser', 'carter page']","fbi,fisa,trump,carter"
45,,"Back on the front page where it belongs. It should only be a few minutes before the next crazy diversion.

 
",;,ZazuRules,,[],
46,thingsweheart,FBI obtained a FISA warrant last summer to monitor Trump adviser Carter Page...  by  via @c0nvey,"FBI,FISA,Trump,Carter Page;",DecentFida,"fbi,trump,carter page","['fbi', 'trump adviser', 'carter page']","fbi,fisa,trump,carter"
47,,GOP and DEM Sorosian trolls out in full force 2 keep Carter Page from trending ps does George have healthcare perks?,"GOP,DEM,Sorosian,Carter Page,George,healthcare",tiwhitter,"dem sorosian,carter page,george","['carter page', 'healthcare', 'gop']","gop,george"
48,,Ahh... hello?!,;;,pammy_facepaint,,[],
49,,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a probe of campaign’s Russia ties,"FBI,FISA, Trump,Carter Page,Russia",kwanzer,"fbi,trump,carter page,russia","['russia', 'fbi', 'carter page', 'adviser']","fbi,fisa,trump,carter page,russia"
50,,"Carter Page claims the FBI/JD wire tap is just like when the FBI tapped Dr.King... yeah, brah, just like that...except not in every way.","Carter Page,FBI,JD,FBI,Dr.King;",Aarapparent,"carter page,fbi,king","['carter page', 'fbi', 'fbi', 'king']","carter page,fbi"
51,,FBI obtained FISA warrant to monitor former Trump adviser Carter Page via /r/politics,"FBI,FISA,Trump,Carter Page",SubPolitics,"fbi,trump,carter page","['fbi', 'carter page', 'adviser']","fbi,fisa,trump"
52,,A FISA warrant against US national requires evidence they knowingly participated in clandestine intel ops.,"FISA, US",BrianNormoyle,us national,['us'],us
53,,@rideatdawn Nah... hack dossier damn it!,;,EricJGilbert,,[],
54,,This Breitbart guy.,Breitbart,snottypants,,[],breitbart
55,,"If Nunes saw Carter Page unmasked on a FISA warrant, no wonder he ran to the White House...wonder what else he saw? Rep Schiff do your thing","Nunes,FISA,Carter Page,White House;Rep Schiff",spokanetom,"nunes,carter page,white house","['carter page','white house']","nunes,carter page,schiff"
56,,@united just gave lifetime premier status to @PressSec and Carter Page.,Carter Page,BrianWithAnE,carter page,['carter page'],carter page.
57,,FBI obtained FISA warrant to monitor former Trump adviser Carter Page,"FBI,FISA,Trump,Carter Page",ele_wolfe,"fbi,trump,carter page","['fbi', 'carter page', 'adviser']","fbi,fisa,trump,carter page"
58,,"But the problem is the leaks, right 45?",,mdh9876,,[],
59,,@RDebag @jaketapper @MichLKosinski Like I said (and the FBI said) Zero evidence. Just BS conjecture. Is carter page being charged? No.,FBI;;Carter Page;,Inglorious123,carter page,"['carter page', 'fbi']",fbi
60,"TrumpRussia, LoserPOTUS","The walls inch ever closer. Hang in there, folks. Stay focused on  and  will be gone soon.",;;,BillSchultzeJr,,[],
61,"spicer, SyriaStrikes, TrumpRussiaCollusion",Enough of  and  let's get back to the basics,,RobertDriemeyer,,[],
62,,"""Carter Page""",Carter Page,justsickoflies,carter page,[],
63,,Comrade Comey did as his Puppet Master ordered.,"Comrade Comey,Puppet Master",truth_trumpet,,['comey'],comey
64,,@FoxNews @dkrwilliams @oreillyfactor FBI  / Hillary's Andrew McCabe was secretly working with Lynch/Obama/Rice to spy on Donald Trump team VIA any means necessary! Carter Page,"FBI,Hillary,Andrew McCabe,Lynch, Obama, Rice, Donald Trump; Carter Page",glennyork,"fbi,hillary,andrew mccabe,donald trump,carter page","['andrew mccabe', 'carter page', 'fbi']","fbi,andrew mccabe,donald trump"
65,,Here we go again...,,WhyAsk65,,[],
66,,FISA court granted FBI authority to monitor Trump adviser Carter Page during campaign:  via @slate,"FISA,FBI,Trump,Carter Page",slatest,"trump,carter page","['fisa court', 'fbi', 'carter page', 'adviser']","fbi,trump,carter page"
67,,So proof that Trump's team was colluding with the Russians,"Trump,Russians",Karadur_Zero,trump,[],
68,,Well...,,DalanOverstreet,,[],
69,"inners, msnbc, cnn",Who Is Carter Page? A Liar. 8 Things You Need to Know About the Former Trump Adviser.,Carter Page;;Trump,BlackJesuscom,carter page,"['carter page', 'adviser']","carter,trump adviser."
70,,He's busy trying to destroy the lives of minorities across the country.,,jmichaelkell,,[],
71,,Sure hope he does and soon.,,sdbees1953,,[],
72,,Page again. Poor guy…,Page;,DonnaJo1002,,[],
73,,"imagine trying to spin this as good for Trump

this might be the worst thing thats come out so far",Trump;,Philatticus,trump,[],trump
74,,FBI obtained a FISA warrant on Carter Page (former Trump advisor) on basis of probable cause he was operating as a foreign Russia agent.,"FBI,FISA,Carter Page,Trump,Russia",dnmilikan,"fbi,carter page,russia","['advisor', 'fbi', 'russia']","fbi,fisa,russia"
75,inners,@politicques They tried to say they'd never even heard the name Carter Page! I saw 45* call him by name as a way to impress.,Carter Page;,NoctilucentClou,carter page,"['carter page', 'him']",carter
76,"swamp, DTS",Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser - Fox News The  is deep.,"Carter Page,FBI,FISA,Fox News",trmcolorado,"carter page,fox news the","['carter page', 'adviser', 'fbi']","carter,fbi,fisa"
77,,Happy Passover...,Passover,Analogbear,,['passover'],
78,,Why did James Comey cover this up while writing the letter about Hillary's emails? Investigate the FBI Director for election tampering too.,"Comey,James Comey,Hillary; FBI",drhug,"james,hillary","['director for election tampering too', 'fbi', 'james comey']","james comey,fbi"
79,,"@JoeNBC Spicy has been an idiot from day1. Carter Page on the other hand is going to snitch.Hey Joe, I'm looking forward to your spin in the morning",Spicy;Carter Page;Joe,mikeinbama,"carter page,joe",['carter page'],
80,,Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump┬áadviser,"Carter Page,FBI,FISA,",Siddharthjrs,carter page,"['carter page', 'fbi']","carter,fbi,fisa"
81,,"It's like Office Space: Each day is worse than the last, so you're always seeing the Trump administration at its lowest point!",Trump,adammc123,office space,['trump administration'],trump
82,FBI,Carter Page lived in Russia for awhile.  Very close to them. Trump said early on he was going to use Page as foreign policy expert.,"Carter Page,Russia;;Trump,Page",shortreddog,"carter page,russia,trump","['carter page', 'russia']","carter page,russia,trump"
83,Day82,"Just when the Trump admin gets its very shaky footing. 
Carter Page was being played by Russians. 
Nunes lied about Susan Rice
","Trump; Carter Page,Russians; Nunes,Susan Rice",Gratkin,"trump,carter page,russians,susan rice","['carter page', 'susan rice']","trump,nunes,susan rice"
84,,"exactly
otoh what info could have been gleaned from this campaign nobody",;,alcamus,,[],
85,"Inners, p2, TrumpRussia, tcot",Whoa. @washingtonpost : FBI Granted FISA Warrant to Monitor Fmr. Trump Advisor Carter Page.,";;FBI, FISA,Trump,Carter Page",craftyme25,"monitor fmr,carter page","['carter page', 'trump advisor', 'fbi']","fbi,trump,carter page."
86,,My pick≡ƒñæ,,pammykaye,,[],
87,,Carter Page about to be thrown under a bus so hard he'll wish he was flying United.,"Carter Page,United",JeffreySconce,carter page,['carter page'],carter page
88,,"I would NEVER contradict, but, Sam Clovis?? @yottapoint",Sam Clovis;,ChristinLuvsSno,sam clovis,['sam clovis'],
89,,Oh boy.,,wandsci,,[],
90,,"Carter Page

FBI convinced FISA judge to provide warrant. Based on what? We don't know.

","Carter Page; FBI,FISA;;",unscriptedmike,carter page,"['fbi', 'fisa judge']",fbi
91,TeamTrumpRussia,is gonna get busted. Oh dear....whatever will we do when the trash is taken out of the Whitehouse to the dump? Call HRC!!!,;;Whitehouse;HRC,Mrsresistor,,[],whitehouse
92,,We now return to our regularly scheduled programming.,,RyGil01,,[],
93,"TrumpRussiaCoverUp, 25TrumpNow","What kinda crazy sh*t will Sean Spicer say to divert attention from this bombshell?  
",sean spicer,25trumpnow,sean spicer,['sean spicer'],sean spicer
94,,When are we gonna get the big news of russian collusion after a year of duplicitous wiretaps of Trump's entire team?,"Trump,russian",Dont_be_a_dweeb,trump,[],
95,,@selectedwisdom @washingtonpost it seems Trump's wiretapping accusation is an aggrandized truth-stretched variant of what happened to Page,"Trump,Page",JennyGermaine,trump,[],
96,,****FBI reportedly probed ex-Trump aide Carter Page during campaign****  via @nypost,"FBI,Carter Page",jerZboyUSA,carter page,"['carter page', 'fbi', 'aide']",carter
97,,FBI got FISA warrant 2 monitor Trump adviser Carter Page. Why those connected 2 @POTUS also connected 2 Russia?,"FBI,FISA,Trump,Carter Page;Russia",TVDExcel6,"trump,carter page,russia","['carter page', 'monitor trump adviser', 'fbi', 'russia']","fbi,fisa,trump,carter"
98,,wow they had a warrant this is just like watergate,watergate,UrbanAchievr,,[],
99,,These Trump people have no shame.,Trump,rachelbailin,,[],trump
100,"Davenport, Iowa",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post,"FBI,FISA,Trump,Carter Page,Washington Post",DavenportIowaa,"fbi,trump,carter page,washington post","['washington post', 'washington post', 'fbi', 'carter page', 'adviser']","fbi,fisa,trump,carter page - washington post"
101,,Washington Post FBI obtained FISA warrant to monitor former Trump adviser Carter Page Washington Post The FBIΓÇª,"Washington Post,FBI,FISA,Trump,Carter Page,Washington Post",NewsToppers,"washington post,trump,carter page washington post the fbiγçª","['washington post', 'fbi', 'fbi', 'carter page', 'adviser']","washington post fbi,fisa,trump,carter page washington post"
102,,"@ZZMAMA1 So, Carter Page and Spicer are having bad days...slmfao.","Carter Page,Spicer;",yynn6001,"carter page,spicer",['carter page'],spicer
103,,I mean...,,televisionwhore,,[],
104,,@billbong9059 @realDonaldTrump FBI and the Justice Department obtained the warrant targeting Carter Page communications. How'd they get that?Probable cause.,"FBI,Justice Department,Carter Page;;",christy_harlan,"justice department,carter page","['justice department', 'fbi']","fbi,justice department"
105,,Im going to lose my mind cnn shows the spicer interview with wolf one more time. Where the hell is carter page story?,"cnn,spicer;Carter Page",anuj_pant6,carter page story,['carter page'],
106,,I think we discovered today that @seanspicer is a closet Nazi.,Nazi,kimijtoo,nazi,[],
107,,"Small starter list of today's new swept under the magic carpet:

1. AG Sessions
2. Carter Page
3. Devin Nunes

Ketchup!",;;;AG Sessions;;Carter Page;;Devin Nunes;;Ketchup,Hartpolitics,"ag sessions 2,carter page 3,devin nunes ketchup","['carter page', 'devin nunes']","ag sessions,carter,devin nunes ketchup!"
108,,A FISA warrant was granted for Carter Page huh??? 45* not looking good at all.,"FISA,Carter Page;",MarvB_,carter page,['carter page'],
109,TrumpRussia,New details have emerged in  probes,,Amour_Beignets,,[],
110,,Everything you said is true,,mary_sturino,,[],
111,"Trumprussia, RussiaGate","Lock them all up! FLYNN, PAGE, TRUMP is responsible and should be impeached    GRRRR",;FLYNN;PAGE;TRUMP,BillCar62820023,"flynn,page,trump",[],
112,,nothing to see here move along pay no attention to the man behind the curtain,,LauraJSilverman,,[],
113,,"Weakness spreads like fear whenever any such piece fails
That fear begets true confessions.
Hallelujah Gen. Flynn - Mr. Asshole Yellow Belly",";;Hallelujah,Flynn, Gen. Flynn",JerryLingle,"flynn,asshole yellow belly","['mr. asshole yellow', 'gen. flynn', 'gen.']","flynn,asshole yellow belly"
114,,Spicer owes Carter Page...,"Spicer,Carter Page",RockShrimp,"spicer,carter page",['carter page'],"spicer,carter page..."
115,,It's just so fitting that Carter Page sounds like the name of a very lame James Bond ripoff character.,"Carter Page,James Bond",nmehranfar91,"carter page,james bond",['carter page'],"carter page,james bond"
116,,Maybe Obama is seeking asylum in Germany,"Obama,Germany",cwa92464,"obama,germany",['germany'],"obama,germany"
117,,"Wait, didn't @maddow crack this can of Carter Page open like, 3 weeks ago? Or someone else..?",Carter Page;,realdasein,carter page,['carter page'],
118,"TrumpRussia, RussiaGate",Let's stay focused on,,BCaliNYC,,[],
119,,"Comey was doing all this during the time he dropped that Hillary letter on us, btw.","Comey,Hillary",GottaLaff,hillary,[],"comey,hillary"
120,,Why did the FBI suppress the Carter Page story? This is less important than a stupid email server???,"FBI,Carter Page;",RoguePOTUStaff,carter page,"['stupid email server', 'fbi']",fbi
121,,Dude acts like he's on meth. Sucky liar *and* a tweaker.,;,palesnightngale,,[],
122,,Carter Page,Carter Page,mrKeithBrennan,carter page,['carter page'],carter page
123,,"Many ""holy sh*t""s:
- probable cause that Russian agent was on Trump campaign
- Comey sat on this, made hay over HRC
- Page sez he's like MLK",";Russian,Trump;Comey,HRC;Page,MLK",hslatkin,"russian,trump",[],"trump,comey,hrc"
124,inners,Trump has access to Intel. He knew of FISA Warrant/Carter Page &amp; still said no when asked if his campaign was n contact w/ Russia,"Trump;FISA,Carter Page,Russia",battletested5,"trump,fisa warrant/carter page,russia","['carter page', 'russia', 'intel']","trump,russia"
125,,@AnnCoulter Wow let's talk about FISA that FBI took out on Carter Page 2016.,"FISA,FBI,Carter Page",llewis88,"fbi,carter page",['fbi'],fbi
126,,FBI was monitoring Carter Page WTF did Comey come up with those Bogus emails about Clinton @SMShow @OccupyDemocrats @JohnFugelsang @funder,"FBI,Carter Page,Comey,Clinton",montetjwitter11,"fbi,carter page,clinton","['clinton', 'carter page', 'fbi']","fbi,carter page wtf,comey,clinton"
127,,****FBI obtained FISA warrant to monitor former Trump adviser Carter Page****,"FBI,FISA,Trump,Carter Page",jerZboyUSA,"trump,carter page****","['fbi', 'carter page', 'adviser']","fisa,trump,carter page****"
128,,@shaltsch Sam Clovis.,Sam Clovis,ChristinLuvsSno,sam clovis,['sam clovis'],sam clovis.
129,,"Comey didn't announce this but on October 28, he went out of his way to announce the non-story of Clinton's emails","Comey,Clinton",kevinmartin823,clinton,['clinton'],
130,TrumpRussia,"...because he was a Russian agent.  On Trump's campaign team.
",;Russian;Trump,GretchenVork,"russian,trump",[],
131,,We just found out about FISA Warrant n Carter Page and this is the best @realDonaldTrump can come up with to distract?,"FISA,Carter Page",michaelclark50,carter page,[],carter page
132,,Jail time,,NazDreaming,,[],
133,,"Let us not be distracted by ignorance, @PressSec",,cthebones1,,[],
134,,FBI had probable cause that Trump adviser Carter Page was acting as a foreign agent for Russia &amp; got a FISA warrant,"FBI,Trump,Carter Page,Russia,FISA",LauraJSilverman,"trump,carter page,russia","['carter page', 'trump adviser', 'fbi']","fbi,trump,carter page,russia"
135,"racetowitsec, kremlinklan, putinspuppet",Whichever one doesnt want to be thrown from a building or poisoned,,coachcommnsense,,[],
136,,A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia,"FBI,Carter Page,Russia;",Anti_DJTrump,"fbi,carter page,russia","['carter page', 'fbi', 'russia']","fbi,carter page,russia"
137,,@JoeNBC PUTIN Puppet Show Is Now. ...Punch &amp; Judy Without the Humor. ...Was Carter Page in Janesville WI in September? Simple Question Yes or No,"PUTIN;;Judy;Carter Page,Janesville;",Bulldawg2482,"putin puppet show,judy,carter page,janesville wi","['judy without', 'carter page']",janesville wi
138,,@leyles7 Me too.  Have heard about Carter Page?  FBI requested a FISA warrant last year to follow his activities in Russia,";Carter Page;FBI,FISA,Russia",delvish,"carter page,fbi,russia","['fbi', 'russia', 'carter page']","carter,fbi,fisa,russia"
139,,Yawn,,CharlieFGordon1,,[],yawn
140,,"@washingtonpost Dear Carter Page, if a judge granted the FISA, THERE WAS EVIDENCE such as you meeting with two known Russian spies. Traitorous!","Carter Page,FISA,Russian;",Conscience4,carter page,"['carter page', 'a judge']",
141,,"Mutiny from stern to bow
Ah, but I was so much older then, I'm younger than that now",;,toyns,,[],
142,,"""probable cause to believe Page was acting as an agent of a foreign power""",Page,KPCCofframp,page,[],page
143,,"Maxine Waters is DA WOMAN. THANK YOU for not EVER letting go of the REAL scandal: TREASON, collusion with Russia.",Maxine Waters;Russia,aliasvaughn,"maxine waters,russia","['maxine waters', 'russia']",maxine waters
144,,WashPost: FBI granted FISA warrant 2monitor Trump policy adviser Carter Page.FISA court found probable cause DT aide acting as foreign agent,"FBI,FISA,Trump,Carter Page;FISA",Edwards20170125,"fbi,carter page,dt","['fisa warrant 2monitor trump policy adviser', 'probable cause dt aide', 'carter page', 'fbi']","fbi,fisa,trump,carter"
145,,"@normative Which says a LOT about Carter Page,",Carter Page,JustCallMeEd,carter page,['carter page'],"lot,carter"
146,"inners, maddow, lastword, TrumpRussia, Russiagate","
FBI Counterintelligence Obtained  FISA Warrant For Carter Page","FBI,FISA,Carter Page",deck449,carter page,"['carter page', 'fbi']","fbi counterintelligence obtained fisa,carter page"
147,,@proust1974 He was so close to Trump that Flynn said he never even met Carter Page iirc.,"Trump,Flynn,Carter Page",PositiveInt,"trump,flynn,carter page",['carter page'],"trump,flynn,carter page iirc."
148,TrumpRussia,"Carter Page had other contacts with Russian operatives that have not been publicly disclosed.
 

","Carter Page,Russian;",JebBoosh,"carter page,russian",['carter page'],carter page
149,,GOP and DEM,"GOP,DEM",tiwhitter,dem,"['dem', 'gop']",gop
150,,@Reuters Besides Carter Page acting as a foreign agent there has to be alot more in the WH.,"Carter Page,WH",gs619usmc,carter page,['carter page'],carter page
151,,"Comey is a POS. Major press event with Weiner email, but he KNEW about FISA warrant. Did it anyway, knowing the result would help tRump.","Comey;Weiner,FISA;tRump",truth_trumpet,fisa,[],"comey,weiner"
152,,What a tangled web they weave... I'm so grateful for our Intel community and FBI who will untangle all of it and lock them up!,;FBI,notherringfarts,fbi,"['fbi', 'tangled web', 'intel']","intel,fbi"
153,AllColluded,@maddow Seems Carter Page drew the short straw. Trump &amp; Co. offering up Page to FBI to take the blame for Russian interference.,"Carter Page;Trump,Page,FBI,Russian",Aneetchkoo,"carter page,russian","['trump & co.', 'fbi']","carter page,trump &amp; co.,fbi"
154,Fiverr,Check this out! I will do computer networking and IT security on   Sean Spicer Carter Page,";sean spicer,Carter Page",newton_engineer,sean spicer carter,[],sean spicer carter page
155,,@DoctorPeterD @thehill We have seen what happens. Carter Page was unmasked (it's in the press) and all signs point toward the former administration. 1/2,;Carter Page;,TespGames,carter page,['carter page'],carter page
156,,Warrant on Carter Page shows we no longer have smoke. We have extreme heat. Acting Atty General must appoint a SpecΓÇª,Carter Page;;Acting Atty General,MichaelCastner,"carter page,atty general",['acting atty general'],
157,funder,BREAKING: FBI obtained FISA warrant to monitor former Trump adviser Carter Page  by  via @c0nvey,"FBI,FISA,Trump,Carter Page",susan_dover,"fbi,trump,carter page","['adviser', 'fbi', 'carter page']","fbi,fisa,trump"
158,,March 2016:,,ekcj1234,,[],
159,,@cnnbrk @Evan_McMullin Good Lord how many scandals can Trump  et al generate in a day? Carter Page FISA story and now this,"Trump;Carter Page,FISA",GirlOnFireSally,"good lord,carter page",['carter page'],trump
160,trumprussia,Carter  fbi warrant,"Carter,fbi",lsfarmer311,carter,['fbi'],carter
161,,"Place you bets, I say @realDonaldTrump will be out of office in next 12 months And @mike_pence needs to follow him too  ""Carter Page""",Carter Page,Itsafairday,"office,carter page",[],
162,"Trumprussia, TrumpRussiaCollusion, russiagate","  
 I remember his shit eating grin when Chris Hayes was interviewing him on",Chris Hayes,RWTrollPatrol,chris hayes,['chris hayes'],chris hayes
163,,Almost a year later the Carter Page FISA news drops and this is BIG news? (Sarcasm) Dems working overtime to blow it up!,"Carter Page,FISA;Dems",TheLabeler5000,"carter page,sarcasm,dems",['the carter page fisa news'],
164,TrumpRussia,"One of the two presidential candidates was under FBI investigation on Election Day, &amp; it wasnt Hillary Clinton.  Carter Page","FBI,Election Day,hillary,Hillary Clinton;Carter Page",PunchTrumpUS,"election day,hillary clinton,carter page","['hillary clinton', 'fbi', 'carter page']","fbi,hillary clinton. carter page"
165,,"@FBI BUT WENT AFTER HRC, NOW WE HAVE A LUNATIC IN THE WHITE HOUSE AND U HAVE BIG RESPONSIBILITY FOR THIS",HRC,PamBattistella,white house,[],white house
166,,FBI obtained FISA warrant to monitor former Trump adviser Carter Page makes Comey's subsequent actions all the more unfathomable.,"FBI,FISA,Trump,Carter Page,Comey",PunchTrumpUS,"fbi,trump,carter page","['adviser', 'fbi', 'carter page']","fbi,fisa,trump"
167,Russian,"Carter Page, Former Trump Adviser, Monitored Last Summer By FBI Over  Contacts
","Carter Page,Trump,FBI",livechannelfeed,"carter page,fbi","['adviser', 'fbi', 'carter page']","carter,fbi"
168,,this one is a real page turner,,IamConiglio,,[],
169,trumpRussia,@SenateGOP @washingtonpost  featured in a different WAPO article,WAPO,Ban_Pres_Bannon,,[],
170,,"News of FISA Warrant against Carter Page, continuing silence on Flynn, fits inference they've nailed Trump. From 4/4","FISA,Carter Page,Flynn,Trump;",KeithOlbermann,"carter page,flynn,trump",['carter page'],carter
171,,"The Obama administration used the national security intelligence apparatus against its political enemies, because the IRS wasn't enough.","Obama,IRS",lheal,,"['obama administration', 'national security intelligence', 'irs']","obama,irs"
