ID,HashTags,TweetText,mentions_other,mentions_other_limited_types,URLs,User
44,social distancing,@pauljasonklein hello sir can we get a lany livestream while social distancing and quarantine lives on ???,,,,goodcliches
45,social distancing,@benshapiro Wow what utter heroes these wankers are it’s inspired me ....I’m going STD free whilst social distancing.,;;,;;,,geordiewatty
46,social distancing,Upset because I finally convinced my friends to fulfill my lifelong dream of a murder mystery party only to have so…,,,,HellOnHeelsGirl
47,social distancing,If after a few days of loose social distancing you are bored? There is something wrong. Just think then how much wo…,;;;,;;;,,_bayo_
48,social distancing,y’all going to hoover & running by people sweating and heavy breathing in your bubble then have the audacity to go…,,,,_sheesbeautiful
49,social distancing,@syncships2 @ndn I’ve hypertension & practiced social distancing #CDCGuidelines since early March. Important to ass…,;;,;;,,pamelafwood
50,social distancing,"Reagan the nine scariest words were: “I’m from the government, and I’m here to help”. We are really going to risk e…",Reagan;;,Reagan;;,,dennismartinek
51,social distancing,just wait till we done social distancing i wanna go there to see this shit in person,,,,keygcfs
52,social distancing,A quick @mnhealth #PSA video on why we need public health protective measures like social distancing. #COVID19…,,,,JLincStine
53,social distancing,We practicing social distancing so as Soulja Boy said “kiss me thru the phone” ?,Soulja Boy,,,joel_dbear
54,social distancing,@AnnastaciaMP : why do you continue to allow greyhound racing when participants are clearly in breach of the socia…,,,,AnthonyBrinin
55,social distancing,"@Acosta Donald Trump wants to relax social distancing? No thanks, I choose life",Donald Trump;;,Donald Trump;;,,wayne_ranger
56,social distancing,@ClayTravis 17 year old died in Louisiana. I’m not sure if he had underlying health issues. Ft Lauderdale dr passed…,Louisiana;;Lauderdale;,Louisiana;;Lauderdale;,,Lisawal65138059
57,social distancing,@ThenJoSaid Is that you talking or the numerous bottles of alcohol you may have consumed during social distancing? ?,,,,JrwJim
58,social distancing,"@TwinkleStar_RP || I work in healthcare too, not so easy to maintain social distancing but I have plenty of PPE to…",,,,AnaRockwood
59,social distancing,@ceritheviking I thibk the testing in Germany has been high and enabled early intervention. However many other fac…,Germany;;,Germany;;,,Gareth_Jenks23
60,social distancing,@RossRead My neighbors running and letting their dogs out at Scott Street Park have all been practicing social dist…,Scott Street Park,,,MARLENEtoscano_
61,social distancing,Two bros Chillin' in a hot tuuub Five feet apart because they're Gay but social distancing,,,,CrookieM
62,social distancing,@catturd2 Social Distancing for him,,,,ImWatchingToo
63,social distancing,@carrotmadman6 Also social distancing rules when delivering! 2m away at all times!,;;,,,litotist
64,social distancing,@TanaGaneva The good news is that CA’s social distancing seems to be working to flatten the curve. Which is good.,CA;;,CA;;,,Karoli
65,social distancing,QLD's covid 19 snapshot for the day. *Queenslanders face tighter lockdowns if people flout social distancing rule…,QLD;Queenslanders;,QLD;;,,Monski1
66,social distancing,I just arrived into @SydneyAirport international terminal. The scenes certainly weren’t as described on the news ye…,;;,;;,,amelia_fmc
67,social distancing,went to go check on my dad and since i got a key i opened the door and he stood at the top of the steps and said “w…,,,,emmiliaa_x
68,social distancing,"In an effort to provide more space for social distancing, the city is closing streets to cars starting Friday.",,,,WTKPatch
69,social distancing,I could get used to this social distancing,,,,epsagent
70,social distancing,A scoreboard developed by a NYC-based data firm grades each state and county on how well its residents are practici…,,,,WTKPatch
71,social distancing,"Our Service and Parts Departments have remained open at this time and will operate Mon-Fri 8am-4pm, practicing CDC…",,,,LexusElCajon
72,social distancing,@superapple33 Perfect time to show the morons in the UK the need for social distancing,UK,UK,,dsheadhunter
73,social distancing,@IVplay_ @JoeBudden Shouldn't staff be practicing social distancing too? For the protection of their patients? This…,;;;,;;;,,WitchGlitched
74,social distancing,@claireinzerill0 That first one was after we started social distancing ?,,,,DavidHaleyjd4
75,social distancing,"US Deaths May Exceed 80,000, Even With Social Distancing, Study Finds",US,US,,xaipe3
76,social distancing,"@phillyrich1 @ezraklein He didn't really walk it back, The @FDRLST provides a dangerously incorrect reading. He sa…",;;,;;,,devanbu
77,social distancing,does she even know what social distancing is??,,,,jeremyyymu
78,social distancing,Like everything else....setting the standard on social distancing... #PatriotsNation #NFLFreeAgency #GOAT…,;;,;;,,IconGridiron
79,social distancing,Yeah....this will help with social distancing ??,,,,CoachPatMurray
80,social distancing,@brikeilarcnn Are you people really going to allow this clearly out of his mind man to just stand there and talk ab…,,,,BrianMa62374950
81,social distancing,Did a little social distancing #flyfishing style today.,,,,PodcastProof
82,social distancing,@n0ty3p That’s definitely not social distancing. And just mean! :D Seriously though - I’d hug you. No virus here.,;;;;,,,ultimateloather
83,social distancing,@balajis have you seen this:,,,,edidnac
84,social distancing,"I have an idea to overcome the social distancing barrier, which doctors now fear is having negative psychological i…",,,,chipster22a
85,social distancing,@HappyPawsTreats @piersmorgan They are practising social distancing from people outside of their household now though surely?,,,,IamKoburg
86,social distancing,"UPDATE|| Be aware that while the fish was supposed to be away at the moment, due to recent developments of COVID-19…",COVID-19,,,polkatomlinsun
87,social distancing,@MonkBeater @GodAmn3sia Sheldon’s was PACKED. Very much not social distancing,Sheldon;;,Sheldon;;,,fckingstuwupid
88,social distancing,Guys please google the differences between social distancing and quarantining because there are several,,,,ts3cat
89,social distancing,@kenpgoff @mitchellvii I would gather hospitalization from Influenza and other spreadable disease would be down sin…,,,,River_King1
90,social distancing,@LFejerman Social distancing?? very dramatic today....,;;,;;,,MarianaStern
91,social distancing,"@sunriseon7 @kochie_online @natalie_barr Whilst I was also outraged at what I saw, you do realise they all came off…",,,,michgar7
92,social distancing,So many of our great restaurants are accepting orders for takeout or delivery. As we practice social distancing dur…,;;,;;,,BillGalvano
93,social distancing,@Yamiche A lack of health care resources and a coordinated Countrywide Covid-19 plan will kill a half to two millio…,Covid-19,,,williss14793938
94,social distancing,Social distancing is a very tricky thing >> #SocialDistancinguk #COVID2019 ??? via @YouTube,,,,fightingsailor
95,social distancing,"In an effort to provide more space for social distancing, the city is closing streets to cars starting Friday.",,,,HarlemPatch
96,social distancing,A scoreboard developed by a NYC-based data firm grades each state and county on how well its residents are practici…,,,,UESPatch
97,social distancing,"This photo was taken in Indonesia, showing people who appear to be following social distancing guidelines. I’m sur…",Indonesia;;,Indonesia;;,,nathanwinston18
98,social distancing,"My coworker doesn’t really understand social distancing. Ope, just gonna squeeze by ya...",;;,;;,,JenniferDraz
99,social distancing,@KWintie He's probably doing his own make-up now... Social distancing and all.,;;,;;,,StonZMGMT
100,social distancing,BBC News - Why social distancing might last for some time,BBC,,,jovitim
101,social distancing,My coronavirus social distancing vantage point.,,,,WycheBa
102,social distancing,@Mousefan98 @ephoustonbill @JonMontag @cedarflats @didjamaphone @beerhunter74 @Just4BeerLovers @beerguypdx…,,,,zappafaye
103,social distancing,my neighbors a few doors down throwing a party...in the midst of social distancing i hate it here,;;,,,aftbyuns
104,social distancing,@Kushiiekay Yeah fr social distancing even in bed,,,,_DeAura_
105,social distancing,Trump previews new social distancing guidelines based on geographic risks #SmartNews,Trump,Trump,,magichands34
106,social distancing,We can’t have relaxed social distancing until we have a fuckton more testing available!,,,,crystalwarelk
107,social distancing,"Social distancing score board is using data from smartphones in the USA. Quite concerning, working on getting UK da…",USA;UK;,USA;UK;,,Dr_AY1962
108,social distancing,@krupali @gtconway3d Physical and Social Distancing,,,,AmyTambone
109,social distancing,@KingTut_90 @UTKParking Tell them your social distancing lol,,,,GoVolsDeep05
110,social distancing,Social distancing be like :,,,,Shahrukh01000
111,social distancing,How is social distancing treating you?,,,,Phytotherapi
112,social distancing,@HBCUfessions Should've been social distancing.,,,,SmoothEpiphany
113,social distancing,@goldcoastbeautE Lately I been practicing abstinence and social distancing bew bew.,,,,PeteWeezy6
114,social distancing,"The only good thing about this social distancing, is that I’m fasting for Lent. So haven’t been over eating ?",;;,,,ariurbin_
115,social distancing,"Humans home 24/7, no visitors to divert human focus, hug numbers up, natural ability to live in the moment, exempti…",,,,DiWebster
116,social distancing,"They were playing “Let it Go” at King Taco lol. Also, everyone inside was practicing safe social distancing, alo…",King Taco;;,King Taco;;,,markgnzls
117,social distancing,Social distancing long distance ? making me sad that I can’t see my bf,;;,;;,,georgia_veatch
118,social distancing,@mubasherlucman Very gidd idea if people can maintain social distancing and mangha can be sanitised.,,,,khan_msohail
119,social distancing,"Why social distancing works, as demonstrated with Skittles",Skittles,Skittles,,Durff
120,social distancing,Social distancing is definitely not taking place at the basketball court.,,,,PatrickR0720
121,social distancing,@mattpeden @RLWC2021 @HATCHcomms Congrats on putting together and the smooth running. Beginning to wonder whether t…,;;,;;,,jdgsport
122,social distancing,"Watched Shrek tonight, the king of social distancing",Shrek,,,alanisaenk
123,social distancing,yall look at group pics online and try to figure out if it was taken before or after social distancing went into effect? or is that just me,;;,;;,,newestwarriors
124,social distancing,Are you taking the right preventative measures against the coronavirus? Make sure you're practicing social distanci…,;;,;;,,Sacs98ROCK
125,social distancing,@KeithCregan @CFCAbbz @Turnitin Why doesn't everyone get predicted grades and the high achievers can sit a leaving…,,,,BoofySpoofy
126,social distancing,@benshapiro I wish Obama would practice social distancing by remaining silent.,Obama,Obama,,JoeFran42558128
127,social distancing,"@townsendoutdoor Try nearer sea level, although more difficult for social distancing. Dornoch was sunny all day wit…",;Dornoch;,;Dornoch;,,VisitGroatbury
128,social distancing,"""It turns out actually to be super dark and thorny, even scary, about irreconcilable difference, unbridgeable dista…",,,,the_point_mag
129,social distancing,Attention Santa Monican's! Let's acknowledge the real heroes of the COVID-19 crisis. These are people working in es…,;COVID-19;;,,,TheMiramarSM
130,social distancing,"@NaveedJM Chinese count is lower than real count (no testing for many weeks, apparently much more stress on health…",,,,omarali50
131,social distancing,Diablo ? car ride? social distancing ???I'm good ....let's roll,Diablo;;;;;,,,jfield1869
132,social distancing,You know what doesn't change because of social distancing and self isolation? ? .....laundry? ?,;;,;;,,m3ghansolo
133,social distancing,@ArvindKejriwal Social distancing? Really? Can't see that in the pictures!,;;;,;;;,,Nkhl01650184
134,social distancing,What do these spambots not understand about social distancing?,,,,Spaced1999AKA
135,social distancing,I've been self isolating and social distancing since 2012 this ain't my first rodeo baby,rodeo,rodeo,,jeanamorph
136,social distancing,Looking for some ideas on how to stay busy while social distancing? -Play a board game or card game -Do a crosswor…,;;;,;;;,,BrantRockTX
137,social distancing,@Barnes_Law @lachlan @chrislhayes @LDoren He could just change the social distancing parameters in his model and ge…,,,,KGar22
138,social distancing,@Grumpy_old_sod1 @Geez_a_diamond Yep. On the train with tongue out. Good job we’re social distancing and no one is near me???,;;,;;,,_its_me_sandy
139,social distancing,But we in a pandemic why aren’t they social distancing?!!!!,,,,thatladyj
140,social distancing,"Scheduling a video chat with @carrollofdbells and @TheKatDodd because I miss them. ?? Social distancing is hard, b…",;;,;;,,writeranonymous
141,social distancing,Self Quarantined? Social Distancing? Watch one of the greatest westerns of ALL Time! TOMBSTONE! #tombstone…,;;;;,;;;;,,visittombstone
142,social distancing,In our social distancing times .,,,,jay_tee_vidon
143,social distancing,@vankapro @56blackcat @HuffPostPol You Damn People are IDIOTS. SOCIAL DISTANCING IS A MUST RIGHT NOW. MAYBE ALL YOU…,;;;,;;;,,pritt_bobbi
144,social distancing,"Apparently... Social distancing in #tesco equals 3 consecutive tills open, in a store that has 40+, plus two instan…",;;,;;,,saljmccabe
145,social distancing,@ChemaMite The confirmed cases go down over time. The absolute amount of cases stays finite but as days progress th…,;;,;;,,DrCHebertWDSU
146,social distancing,Social Distancing,,,,Joey_C
147,social distancing,21 savage just dropped the quote of the year on Tory Lanez live ? “Social distancing from all fu#k ni#gas”,Tory Lanez;;,Tory Lanez;;,,FlackoBaggMyers
148,social distancing,"Hispanic workers say some employers aren’t letting them practice social distancing, but they are afraid to report t…",,,,LizRespondeT47
149,social distancing,I found this cool little private office by the break room and I been ducked off posted. Like 5 people found me and…,;;,;;,,ZenGodd3ss
150,social distancing,Up10tion said we're social distancing and so are yall,,,,youkiihyuns
151,social distancing,Bawled my eyes out hearing the #ClapForNHS noise from our estate in SE London. Then our mutual aid group started po…,London;;,London;;,,st3phal
152,social distancing,My concept of time was already trash before social distancing but now it’s way worse. Can we just get rid of time?,;;,;;,,AndyPolMol
153,social distancing,"@politicalmath @EWErickson I’ve been saying this for a week. Why are Kansas, Nebraska, Iowa, Missouri, Idaho etc..…",";Kansas, Nebraska, Iowa, Missouri, Idaho;",";Kansas, Nebraska, Iowa, Missouri, Idaho;",,john_hydrick
154,social distancing,"Grateful for the opportunity to provide essential services to vulnerable individuals & families in need. Tomorrow,…",;;,;;,,CCAOH
155,social distancing,"Not going to lie the fact they have this data is creepy, but it’s interesting as well. Nevada showing the rest how…",;;,;;,,milestomemories
156,social distancing,@RScootman @genesimmons I mean there isn’t unless you want coffins to pile up. The best we can do is social distanc…,;;,;;,,Michaelramos227
157,social distancing,"Hite on capital projects: most current projects suspended, SLA MS one that has continued. Contractors will be monit…",SLA;;,SLA;;,,APPSphilly
158,social distancing,"Another day, another walk. Getting outside makes social distancing a little bit easier. Meeting Teddy was just an a…",;;Teddy;,;;Teddy;,,taryn_muolo
159,social distancing,"Looks like I'll be talking with @kpcc's Leo Duran, aka @LeoHasACat, around 2:45 pm tomorrow about riding a bike in…",Leo Duran,Leo Duran,,bikinginla
160,social distancing,@GovMurphy @NJGov I just love those news conferences with the long purple table. Social distancing by true example.,;;,;;,,DyfetWorldie
161,social distancing,social distancing and personal time isn’t too bad when it looks like this,;;,;;,,McKalaRidenour
162,social distancing,social distancing! you must be one mingi away from people at all times,;;,;;,,fixonhan
163,social distancing,@VickiBetton Social distancing level: -1,,,,girijaduggal
164,social distancing,social distancing,,,,nandoapenas
165,social distancing,Starting a new Instagram challenge called unfollow everyone you know who’s not practicing social distancing,,,,mnmoriarty
166,social distancing,"SPECIAL REPORT: Do you miss hugging your friends? In a Q&A with two doctors on March 24, a major news network reass…",;;,;;,,RangerBear_Adv
167,social distancing,"there's a joke in there to be made about social distancing and/or hand sanitizer, but I need to go be essential",,,,stucamenzind
168,social distancing,But with social distancing,,,,lucygreenwoo
169,social distancing,"And not to also be a Debbie Downer diming out the kids, but the lack of social distancing happening at the nearby b…",Debbie Downer,Debbie Downer,,matt_hamilton10
170,social distancing,"US now has most confirmed #Covid cases. Numbers will double in a week as we are testing more, respondend late and h…",US;;,US;;,,klediol
171,social distancing,And so I can cross “going to the corner shop in my PJs” off the to do list. Only two people allowed in the shop at…,PJs;;,,,kayeinglis
172,social distancing,Day 13 of no football.......I hope everyone is obeying with their social distancing obligations,;;,;;,,weather_nick123
173,social distancing,"2nd night. Social distancing? I know Trump, just read our a pile of Presidents names! ?you got this ??♂?",;;Trump;,;;Trump;,,RobertElliot67
174,social distancing,@normmacdonald Do you think anyone has considered the impact social distancing has had on both pedophiles and run o…,,,,SnowmanHairy
175,social distancing,@ccpsftb Free drive-up WIFI service daily 8AM-8PM at four locations for students and staff. Please read below. Kee…,;;;,;;;,,ccpsftb
176,social distancing,"Without Consulting His Own Task Force, Trump Plans County-By-County Relaxation Of Social Distancing Guidelines For…",Trump,Trump,,ConsultingShow
177,social distancing,still trying to master FaceTime calls during social distancing,FaceTime,,,megan_ford1
178,social distancing,"@PresidentKiwi_ Even though the numbers are most likely wrong, I highly doubt that they are going to re-open any no…",,,,Galdeus1
179,social distancing,@jameski12612750 @ClayTravis Are you just mad at wrong predictions or are you suggesting that people shouldn’t be s…,,,,DerekPallardy
180,social distancing,@zetahutch @betsyr13 @soledadobrien Sorry to hear that. Stay safe. Are most people staying home and practicing social distancing?,;;;,,,Candice_Dina
181,social distancing,Shopping trip successfully completed. I got what King Floof and I needed with some exteas I forgot to put on my lis…,;King Floof;,,,mischa_eliot
182,social distancing,"Its a little slower here but still pretty busy and no cases yo date.... he's been out, like us, social distancing a…",;;,;;,,CarlDahlen2
183,social distancing,Pet adoptions skyrocket as social distancing orders grow via @nbcnews,,,,TheGabeSaenz
184,social distancing,"""Many millennials and even younger people might be ignoring these social distancing warnings because they think cor…",,,,_monicajane
185,social distancing,Social distancing #SocialDistancing #SocialDistancingNow,,,,captain_says
186,social distancing,@realDonaldTrump Missing your rallies....eh? So you are going to punish us by having to listen to YOU every day in…,;;,;;,,DianeMadis
187,social distancing,"I’m holding out hope that our social distancing is working, and we’ll turn this thing around. I also don’t want to make the same mistake.",;;,;;,,mzumby
188,social distancing,@Truthmatterz @Heide0Neenie @FoxNews How do you protect people while loosening social distancing restrictions? The…,;;,;;,,MiaTornatore
189,social distancing,well done but some of these people still don't understand the meaning of social distancing by standing 2 MTR APART ?,,,,IwasiukStephan
190,social distancing,@JohnjayVanEs JJ I thought you would love the social distancing turns out the food distancing is what's hurting you. Stay strong love up,;;,;;,,Brittneycastle1
191,social distancing,"If you or a loved one is expecting, has a doctor provided any additional information regarding COVID-19?",COVID-19,,,25NewsWEEK
192,social distancing,Daily social distancing cat pic Bean knows that listening to anyone in this briefing other than Dr Fauci is stupid.…,";Bean, Dr Fauci;",";Bean, Dr Fauci;",,Gateskp
193,social distancing,"@trimet You see, the issue is nobody is social distancing at all. At least based on what I've observed. Im an essen…",;;;,;;;,,CameronH_B12
194,social distancing,@realDonaldTrump Please practice social media distancing and save thousands of lives. Please.,;;,;;,,jeepmonkeyredux
195,social distancing,@burnsieboy65 @kbmqs @JamieFunnell5 @DavidPeddie @FootyAccums If they do have to play out this season and Liverpool…,Liverpool,Liverpool,,onlyapound
196,social distancing,Okay social distancing...,,,,TshepiSchwarz
197,social distancing,"Louisiana is entering the festival season where there is a festival just about every weekend, Gov. Edwards is upset…","Louisiana, Edwards","Louisiana, Edwards",,DarryDekens
198,social distancing,Where is social distancing and people standing behind,,,,SchlauDIPTO
199,social distancing,Half of us really taking the social distancing to the extreme. The other half don’t give two fucks.,;;,;;,,_fernnandaa_
200,social distancing,"@nakhreywaali @ronit_augustin I read an interview of one of India’s foremost epidemiologists, he said we may have t…",,,,Nahopayega09
201,social distancing,@DerbysPolice @DerPolDroneUnit social distancing is being followed.... no laws broken here ... ?,,,,dave448
202,social distancing,"@CNNPolitics @realDonaldTrump never urged not doing social distancing! Plus, why do we give a shit what…",;;,;;,,GCoop85
203,social distancing,Trump says he's preparing new social distancing guidelines in letter to governors. Dear ?@realDonaldTrump? You ar…,Trump;,Trump;,,5daughtrs
204,social distancing,THUG charged with assault in case of social distancing rage at the (( Cents Store,Cents Store,Cents Store,,cbinflux
205,social distancing,"A few amazing scavenger hunts for you to use while exploring safely, while social distancing. I think it would be…",;;,;;,,kinderkings
206,social distancing,@OnlyyyJAYY I watch the show. Lol. There’s a new show going on right now. It’s called social distancing. Everyone is tuned in lol,;;;;;,;;;;;,,_bentheknee
207,social distancing,Social distancing with my brother ?@mzjacobson? - the scientific engine behind the #100% renewable energy movement,,,,KrapelsMarco
208,social distancing,"“Tell me how I can observe social distancing when I live with 40 other people,” Mr. Baloch said. “It won’t work.”…",Baloch::,Baloch::,,sabaeitizaz
209,social distancing,Incredible.,,,,Chris_Tanaka
210,social distancing,@brigands123 @HARRYH143 @DareToWenger @guzelawjunior ??♂? I give up... hope you keeping safe and social distancing…,,,,plain_natiive
211,social distancing,@shoshido @TerryGlavin Until public health calls for it outdoor activity with maintained social distancing is ok.,,,,StewartRealty
212,social distancing,"@omsabdul I believe you know measures have been taken pertaining to social distancing ,the contact tracing, they ar…",,,,rheedaah
213,social distancing,@okaypeu sobs theyre just social distancing,,,,puzzleships
214,social distancing,The hardest thing about strict social distancing is that it takes awhile for it to matter. You don’t see results fo…,;;,;;,,diet_dr_cox
215,social distancing,@Rob_Stumpf @mffisher Social distancing kept per capita flu-related deaths in St. Louis to less than half of those…,St.Louis,St.Louis,,deedeeindetroit
216,social distancing,"Social Distancing May Need To Last Months To Beat Coronavirus, Modeler...",Coronavirus,,,XperienceIS
217,social distancing,@Terrell__green Even when I’m social distancing ?? sh!t still funny ? morning I,;;;,;;;,,mshengwana1
218,social distancing,I find your lack of social distancing disturbing @starwars #SocialDistance,,,,BMCarruthers
219,social distancing,"If you ever doubted he’s an ignoramus, here’s the proof: Trump previews new social distancing guidelines based on g…",Trump,Trump,,drdavidgerard
220,social distancing,"Been in the house for 25 days. I can't do this anymore, about to take a hike in nature, still practicing social dis…",;;,;;,,Dripademic
221,social distancing,Social distancing...try that in a prison...it doesn't work ? #COVID2019,,,,Paulp695
222,social distancing,"@Cooplafocal When social distancing is over, we’ll have to have you home for dinner some day and we’ll take those b…",,,,france_midwest
223,social distancing,my hair is INSANE but i can’t get it cut bc social distancing ??? anyways i love snapchat filters yas,;;,;;,,luckyharls
224,social distancing,"We should probably be doing more, I'm not here to argue that, I just want people to avoid seeing these numbers and…",,,,sevenmilestv
225,social distancing,"Y’all better be practicing social distancing, staying inside and scrubbing those hands. I’m not out here trying to…",;;,;;,,AzurePyre
226,social distancing,The now-familiar Philadelphia vs. St. Louis slide on the benefits of social distancing. We're just now noticing tha…,"Philadelphia, St.Louis;","Philadelphia, St.Louis;",,BGPolitics
227,social distancing,"We always love playing fun games on The #RozAndMocha Show, and with social distancing during Covid-19, what do we d…",,,,KiSS925
228,social distancing,"Social distancing works, and the 1918 Spanish Flu epidemic proves it | Advisory Board Daily Briefing:",,,,Arthur59611540
229,social distancing,Social Distancing Photo Scavenger Hunt Day 4 A twist on the wizard of OZ #457strong @USD457,,,,msashleeylynch
230,social distancing,"Social distancing day (one of the days) guess what I'm mixing tonight, Skylar grey and some afro (Kwan 1) kinda tun…",Skylar grey,Skylar grey,,Johnanchorbrand
231,social distancing,"2 health care they need. The house is on fire, this is no time to tell the fire fighters to go home! To self promot…",,,,truthknowsNoLie
232,social distancing,"@hazzy64 I know what you're saying mate. Had they shown a busy day, they'd a point. But they chose to show a coupl…",;;;,;;;,,Leveller_John
233,social distancing,"Today’s social distancing adventure was trying out fishing to test our wilderness survival skills. ? Yeah, I’m sc…",,,,gotmilkchick
234,social distancing,MINI ADVENTURES OF BART : Part three ? Bart has been social distancing all day and he’s very much looking forward…,;Bart,;Bart,,ArmyMithrian
235,social distancing,"Cycling-related COVID-19 humor. ""Social distancing...also known as getting dropped""",COVID-19;,,,DanielHullah
236,social distancing,"Getting really frustated how everyone thinks social distancing, isolating and quarantine are all interchangeable wo…",,,,endone5mg
237,social distancing,How well are states social distancing? One start-up used cellphone data to try to measure it,;;,;;,,CohassetMariner
238,social distancing,@virginsnowbunny @newscomauHQ The time taken to organise/train/set up/sign in those families members who most likel…,,,,nickyandninetoe
239,social distancing,@JamieKennedy This looks like a great workout considering my wife will not even have sex with me during this social distancing thing....,,,,wierzba63
240,social distancing,They started laughing at that poor cashier who was just trying to do his job. THERE ARE EVEN BATRIERS BETWEEN CASHI…,;;,;;,,yehetsongomo
