ID,HashTags,TweetText,mentions_other,mentions_limited_types,URLs,User
32,Russia,"U.S. Secretary of State @SecPompeo, in call with Russian Foreign Minister, urged #Russia to cease support for @NicolasMaduro in #Venezuela -@StateDept","U.S. Secretary of State, Russian Foreign Minister","U.S. Secretary of State, Russian Foreign Minister",,MARINAG44382908
33,Maduro,#Maduro says he investigating who was behind today’s military uprising. Won’t have to look very far. 4 of them were sitting with him at the conference table when he said that.,;;,;;,,Alexander12Leon
34,,"The US and its corporate media allies are left red-faced after yet another swing and miss in Venezuela

By @jmcevoy2

 #Venezuela","US, Venezuela;;","US, Venezuela;;",,MayaWintersSMS
35,Venezuelan,"The #Venezuelan revolt isn't happening because Socialism didn't work. It's happening because socialism did work. 

Praying for the people of #Venezuela as they fight for freedom from the socialist Maduro regime.","socialism, socialism; Maduro",", ; Maduro",,busse50
36,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,israel0067
37,"Carupano, LaInminencia, Venezuela",#Carupano  PL #LaInminencia FI #Venezuela,,,https://twitter.com/elyangelicanews/status/1123626192438009859,Anonymouspmv
38,VenezuelaLibre,This is so true 💔 I’m hoping we learned from our mistakes and other countries listen... #VenezuelaLibre 🇻🇪,,,,Jeanny_Ponce
39,Venezuela,"There are a number of critical things to consider when it comes to #Venezuela. Here's one question we're asking, and we have more to follow-up on. ",;,;,https://twitter.com/i/web/status/1123672424241868802,Stratfor_Ben
40,,".@jguaido has no security force  no ability to control the media. Facing grave threats to his freedom  safety he openly challenges a criminal dictator on a daily basis in #Venezuela

This one man has more courage than every high ranking #MaduroRegime official put together.",;;,;;,,WaleskaMejias
41,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,josevar283
42,Venezuela,WATCH LIVE: Clashes in #Venezuela between govt troops and Guaido supporters,Guaido,Guaido,https://youtu.be/0vLfiqIrIHw,RenanPLorato
43,,"@jguaido has no security force  no ability to control the media. Facing grave threats to his freedom  safety he openly challenges a criminal dictator on a daily basis in #Venezuela

This one man has more courage than every high ranking #MaduroRegime official put together.",;;,;;,,MaritzaDina
44,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,andresmoreno_c
45,Venezuela,"Ret. Brigadier General @ajtata on potential U.S. military involvement in #Venezuela: ""We're at this tipping point and maybe a little nudge from U.S. special forces could help turn this thing 100% in Juan Guaido's direction."" #TrishRegan ","Ret. Brigadier General, U.S. military, U.S. special forces, Juan Guaido","Ret. Brigadier General, U.S. military, U.S. special forces, Juan Guaido",,marlinagg
46,,Russia now threatening U.S. of consequences if military operation in Venezuela launched,"Russia, U.S, Venezuela","Russia, U.S, Venezuela",https://twitter.com/lumworld/status/1123625533936480256,berni_1231
47,,Now this is a solid lineup!,,,https://twitter.com/trish_regan/status/1123659969101012998,Nieblo26
48,"Guaido, Venezuela","New novel from author Juan Guaido about his struggle, to become a Meme in #Venezuela and all around the world. ",Juan Guaido,Juan Guaido,,Bolivarian305
49,Venezuela,"We must continue to support the people of #Venezuela and the interim government of @jguaido.

We stand with them  that's the most important thing we can do  ",;;,;;,,sonianna2
50,,"The sooner everybody understands that defenceless, unarmed civilians are fighting narco murderers, the sooner we will hopefully have the real kind of help we NEED #Venezuela #1May @SecPompeo @VP @UN @GrupoDeLima @IvanDuque @jairbolsonaro @AmbJohnBolton @UNIONEUROPEA @OEA_oficial",,,https://twitter.com/i/web/status/1123672443611172865,vlrglnl4
51,,Send them a USMC freaking division!!,USMC,USMC,https://twitter.com/trish_regan/status/1123392271989211137,vedavidia
52,,Russia now threatening U.S. of consequences if military operation in Venezuela launched,"Russia, U.S, Venezuela","Russia, U.S, Venezuela",https://twitter.com/lumworld/status/1123625533936480256,MsWolverines
53,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,revoltacelot
54,"France, MayDay","Wow. Absolute chaos today in #France on #MayDay.

But most media outlets won’t be broadcasting Macron’s police assaulting and tear gassing unarmed protesters. They’re too busy generating propaganda to start a war in #Venezuela. #YellowVests #GiletsJaunes ",;;; Macron;;,;;; Macron;;,,silvia_aletheia
55,"Venezuela, Catalonia","#Venezuela, Apr-2019? No, Spanish occupation forces attacking independence referendum voters in #Catalonia, Oct-2917.
",; Spanish,; Spanish,,nicolasolmosg
56,"MAGA, Trump2020","And if you don’t be careful you’re going to see this happen in America, USA #MAGA #Trump2020","America, USA","America, USA",,lkdixceechik
57,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,MrsTruth_Vzla
58,"economía, venezuela",The latest El Diario De DMFusion!  #economía #venezuela,El Diario De DMFusion;,El Diario De DMFusion;,https://paper.li/DMFusion/1337877110?edition_id=5c487b90-6c48-11e9-89aa-0cc47a0d1609,DMFusion
59,"maduroregime, Venezuela",Violent pro-#maduroregime ‘colectivo’ gangs organizing to carry out attacks today on civilian protests in #Venezuela,,,,JimWelker2
60,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,carlawt
61,,"I heard you have an even better guest than @realDonaldTrump , @MrsT106 . I wouldn't miss it for the world.",;,;,,DannyTarkanian
62,"Venezuela, 1M","A photojournalist has been shot by the GNB in the city of Caracas
#Venezuela #1M ","GNB, Caracas;","GNB, Caracas;",,no_itsmyturn
63,Venezuela,Altamira -east of Caracas - remains on fire this afternoon as GNB reprimands opposition protest with massive amounts of tear gas #Venezuela,"Altamira, Caracas, GNB","Altamira, Caracas, GNB",,vzlannews
64,Venezuela,"Ret. Brigadier General @ajtata on potential U.S. military involvement in #Venezuela: ""We're at this tipping point and maybe a little nudge from U.S. special forces could help turn this thing 100% in Juan Guaido's direction."" #TrishRegan ","Ret. Brigadier General, U.S, U.S, Juan Guaido","Ret. Brigadier General, U.S, U.S, Juan Guaido",,vedavidia
65,Venezuela,"This is a good thread on the backstory that has led us to this point in #Venezuela. The Trump Administration is literally healing the world from the poison sting of globalism, one failed state at a time. #MAGA is the road to world peace. 👇 ",";Trump Administration, globalism;",";Trump Administration, ;",,Simplyred4x4
66,,"There is no guidebook for when we should support change in power in another country.

But Venezuela’s case is clear. Maduro, a relentless dictator, has destroyed Venezuela. @JGuaido leads the only democratically elected body.

We should support this change for a freer #Venezuela.","; Venezuela; Maduro, Venezuela;;","; Venezuela; Maduro, Venezuela;;",,helenathomaz15
67,"Venezuela, MaduroRegime, Cuba, Russia","#Venezuela Updates: Illegitimate #MaduroRegime Relies on #Cuba and #Russia to Survive. Lima Group regional bloc expressed full support for Interim President @jguaido. @POTUS and @VP express full support for Venezuelans. 

","; Lima Group, Interim President; Venezuelans","; Lima Group, Interim President; Venezuelans",,ChampionMtager
68,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,Chirinoslameda1
69,"Venezuela, TrishRegan","TONIGHT - hear directly from ⁦@realDonaldTrump⁩ on #Venezuela  much more!! 8pmE on #TrishRegan 
ALSO on TONIGHT-the man we recognize as Pres of Venezuela ⁦@jguaido⁩ !! AND ⁦@marcorubio⁩ who has supported Venezuela from start. BIG night! live 8pm #FoxBusiness ",;; Pres of Venezuela; Venezuela;;,;; Pres of Venezuela; Venezuela;;,,m_spitia
70,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,urkiav
71,,"There is no guidebook for when we should support change in power in another country.

But Venezuela’s case is clear. Maduro, a relentless dictator, has destroyed Venezuela. @JGuaido leads the only democratically elected body.

We should support this change for a freer #Venezuela.",";; Venezuela; Maduro, Venezuela;;",";; Venezuela; Maduro, Venezuela;;",,mybabyforever10
72,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,LibreCapitalist
73,,"Shocking scenes in Venezuela as defected soldiers fire back to protect protesters from pro-Maduro forces attack.  #OperacionLibertad #Venezuela
 ","Venezuela, Maduro;","Venezuela, Maduro;",,WayneLMiller1
74,Venezuela,And over here we have MSNBC admitting only government having all the guns is a problem. #Venezuela,MSNBC;,MSNBC;,,OlemissA
75,"Venezuela, Caracas, 1May, OperacionLibertad",#Venezuela 🇻🇪: massive crowd has gathered in Altamira (#Caracas). #1May #OperacionLibertad,Altamira;,Altamira;,,chuchidoyle
76,Venezuela,"There are a number of critical things to consider when it comes to #Venezuela. Here's one question we're asking, and we have more to follow-up on. ",;,;,,ProgreB
77,"maduroregime, Venezuela",Violent pro-#maduroregime ‘colectivo’ gangs organizing to carry out attacks today on civilian protests in #Venezuela,,,,Dafachrifa
78,Venezuela,TONIGHT on ‘Trish Regan Primetime’ my exclusive interview with the man the U.S. recognizes as the President of #Venezuela @jguaido - his FIRST tv interview since the uprising. TONIGHT at 8PM et on @FoxBusiness,"Trish Regan Primetime, U.S;","Trish Regan Primetime, U.S;",,Augusto_Casado
79,,Send them a USMC freaking division!!,USMC,USMC,https://twitter.com/trish_regan/status/1123392271989211137,ARescatemos
80,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,VMalfayeed
81,Venezuela,"Ret. Brigadier General @ajtata on potential U.S. military involvement in #Venezuela: ""We're at this tipping point and maybe a little nudge from U.S. special forces could help turn this thing 100% in Juan Guaido's direction."" #TrishRegan ","Ret. Brigadier General, U.S, U.S special forces, Juan Guaido","Ret. Brigadier General, U.S, U.S special forces, Juan Guaido",,Brigith_G
82,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,53kalevasJanice
83,Venezuela,"Streaming services have now been disrupted in #Venezuela for an hour, starting as Guaido delivered a public speech. Data shows the same services were restored last night allowing internet users to watch adversary Maduro's speech #1May #KeepitOn ⬇️
 ",Guaido; Maduro,Guaido; Maduro,,naledava
84,Venezuela,"This is a good thread on the backstory that has led us to this point in #Venezuela. The Trump Administration is literally healing the world from the poison sting of globalism, one failed state at a time. #MAGA is the road to world peace. 👇 ","; Trump Administration, globalism;","; Trump Administration, ;",,karobesque
85,,"Venezuela used to be the jewel of Latin America. Then what happened? The government took over and everything failed.
 
These are the same policies that Democrat Socialists like Bernie Sanders are pushing for. It didn't work for #Venezuela, and it won’t work for the United States. ","Venezuela, Latin America;;; Democrat Socialists, Bernie Sanders; United States","Venezuela, Latin America;;; Democrat Socialists, Bernie Sanders; United States",,NVPatriot1
86,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,hahail
87,"Caracas, Venezuela, Guayana",Not just in #Caracas but also across #Venezuela like #Guayana marchers mobilizing this morning demanding the return of constitutional order. #1May,;,;,,AndreinaDeSous5
88,"Venezuela, TrishRegan","TONIGHT - hear directly from ⁦@realDonaldTrump⁩ on #Venezuela  much more!! 8pmE on #TrishRegan 
ALSO on TONIGHT-the man we recognize as Pres of Venezuela ⁦@jguaido⁩ !! AND ⁦@marcorubio⁩ who has supported Venezuela from start. BIG night! live 8pm #FoxBusiness ",;; Pres of Venezuela; Venezuela;;,;; Pres of Venezuela; Venezuela;;,,cvgarciam
89,,Lol but president Hillary would have already made him president so I guess whateva,Hillary,Hillary,,stacyairdash
90,"Venezuela, 1M","A photojournalist has been shot by the GNB in Caracas
#Venezuela #1M ","GNB, Caracas;","GNB, Caracas;",,abereborn
91,"SOUTHCOM, HASC, Venezuela",#SOUTHCOM’s Adm. Faller at #HASC on #Venezuela crisis: “Iran has restarted direct flights from Tehran  reinvigorated diplomatic ties.  Ever-present Cuba provides critical personnel  resources to prop up a corrupt dictator.”,"Adm. Faller, Iran, Tehran; Cuba","Adm. Faller, Iran, Tehran; Cuba",,Carola_66
92,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,Elpikdice
93,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,segovma1
94,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,pepitobarcelona
95,,Russia now threatening U.S. of consequences if military operation in Venezuela launched,"Russia, U.S, Venezuela","Russia, U.S, Venezuela",https://twitter.com/lumworld/status/1123625533936480256,IdeaGov
96,"Venezuela, Guaido",Clashes in #Venezuela between govt troops and #Guaido supporters‼️,,,https://www.facebook.com/dutchreportnl/posts/2280497495531832,DutchReportNL
97,"SOUTHCOM, HASC, Venezuela",#SOUTHCOM’s Adm. Faller at #HASC on #Venezuela crisis: “Every security challenge and threat in our hemisphere is compounded by the crisis in Venezuela.”,"Adm. Faller, Venezuela","Adm. Faller, Venezuela",,sonianna2
98,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,Freedom1776__
99,"Venezuela, Caracas, OperacionLibertad","#Venezuela 🇻🇪: the capital #Caracas on the second day of #OperacionLibertad, the streets are packed but largely peaceful so far. #1May ",;,;,,LuzyLibertadYa
100,,"@ChelseaClinton you know who killed more children than measles..your step dad Bill ..
#500,000 Iraqi children #vaccination #Venezuela #prison",measles; Bill; Iraqi,; Bill; Iraqi,https://twitter.com/i/web/status/1123672534040363009,Madrox_Thomas
101,"Venezuela, TrishRegan","TONIGHT - hear directly from ⁦@realDonaldTrump⁩ on #Venezuela  much more!! 8pmE on #TrishRegan 
ALSO on TONIGHT-the man we recognize as Pres of Venezuela ⁦@jguaido⁩ !! AND ⁦@marcorubio⁩ who has supported Venezuela from start. BIG night! live 8pm #FoxBusiness ",;; Pres of Venezuela; Venezuela;;,;; Pres of Venezuela; Venezuela;;,,jillian19743032
102,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,Nathaliedtorres
103,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,sandravgc77
104,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,SaidaAraujo
105,,YALL LOVE SOCIALISM SO MUCH THO...,Socialism,,https://twitter.com/psychologydoc/status/1123260487725146120,ItsMariaa_cx
106,"Venezuela, Caracas","#Venezuela what @telesurenglish will not broadcast. ""In various points of #Caracas there are thousands of citizens gathered this May 1 in support of the #OperacionLibertad to overthrow the dictatorship @NicolasMaduro""",;,;,https://twitter.com/i/web/status/1123672541086789632,lpedroza2018
107,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,Venezuelakkm
108,"Carupano, LaInminencia, Venezuela",#Carupano  PL #LaInminencia FI #Venezuela,,,https://twitter.com/elyangelicanews/status/1123626192438009859,ProgreB
109,,".@VPITV: Our camera assistant Rubén Brito, was shot in the arm while covering the demonstration in the Altamira Interchange in the area of La Carlota. National Guard troops shot at members of the press  via @VPITV #Venezuela ","Rubén Brito,Altamira Interchange, La Carlota; National Guard","Rubén Brito,Altamira Interchange, La Carlota; National Guard",,agamez
110,"voting, Venezuela","What is the Spanish government's position on #voting?

That in #Venezuela people should vote in order to avoid violence - but that in #Catalonia, voting IS violence.

I say, let people vote everywhere, from Caracas to Catalonia, and respect the choices they make. ","Spanish government;;Caracas, Catalonia","Spanish government;;Caracas, Catalonia",,awalmsley11
111,"Venezuela, 1M","A photojournalist has been shot by the GNB in the city of Caracas
#Venezuela #1M ","GNB, Caracas;","GNB, Caracas;",,fefy_gonzalez
112,"Venezuela, 1M","Clashes between protestors and the GNB in the city of Valencia, Carabobo
#Venezuela #1M ","GNB, Valencia, Carabobo","GNB, Valencia, Carabobo",,matti_po
113,,I reject Socialism.,Socialism,,https://twitter.com/trish_regan/status/1123215263716003843,Albert_OsorioV
114,,Praying for those fighting for freedom.,,,https://twitter.com/AmichaiStein1/status/1123307350356627457,johnpeco1
115,,Send them a USMC freaking division!!,USMC,USMC,https://twitter.com/trish_regan/status/1123392271989211137,Brigith_G
116,,"As an American, I’m deeply concerned by the actions of the criminal US government as it relates to Venezuela, Iran, Libya, Iraq, Syria, Haiti, Honduras, Afghanistan, Yemen, Palestine...the list goes on. #HandsOffVenezuela ","American, US government, Venezuela, Iran, Libya, Iraq, Syria, Haiti, Honduras, Afghanistan, Yemen, Palestine","American, US government, Venezuela, Iran, Libya, Iraq, Syria, Haiti, Honduras, Afghanistan, Yemen, Palestine",,MintPressNews
117,,".@jguaido has no security force  no ability to control the media. Facing grave threats to his freedom  safety he openly challenges a criminal dictator on a daily basis in #Venezuela

This one man has more courage than every high ranking #MaduroRegime official put together.",;;,;;,,chinoguayanes
118,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,Luis_Brillem
119,"Venezuela, 1M","A photojournalist has been shot by the GNB in the city of Caracas
#Venezuela #1M ","GNB, Caracas;","GNB, Caracas;",,CarlosB93385321
120,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,simon0372
121,,Send them a USMC freaking division!!,USMC,USMC,https://twitter.com/trish_regan/status/1123392271989211137,elpoliticucho
122,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,CathyNolley
123,Venezuela,"After close observation, CrabCon 🔵 will remain in effect in response to the ongoing situation in #Venezuela. ",CrabCon,CrabCon,,James_Savage15
124,"Venezuela, 1May","#Venezuela: A person has been injured during clashes with the police next to the ""La Carlota"" Air Base in Caracas. #1May ","La Carlota, Caracas","La Carlota, Caracas",,CarlosAragon27
125,"SOUTHCOM, HASC, Venezuela","#SOUTHCOM’s Adm. Faller at #HASC on #Venezuela crisis: China is Venezuela’s single largest state creditor, saddling the Venezuelan people with more than $50 billion in debt,  exporting surveillance technology used to monitor  repress the Venezuelan people. ","Adm. Faller, China, Venezuela, Venezuelan, Venezuelan","Adm. Faller, China, Venezuela, Venezuelan, Venezuelan",,dakp2017
126,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,isthattrue9
127,Venezuela,"💔😕🇻🇪 A Greek who used to live in #Venezuela describes accurately why even to call this uprising and any uprising by the Venezuelans as a coup is an insult. Sorry, but this needs to stop now. Put humans above anything and just help Venezuela - period. Are the @UN listening?! ","Greek, Venezuelans;; Venezuela;","Greek, Venezuelans;; Venezuela;",,ITisidaki
128,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,12inchnail
129,Venezuela,"Public from #Venezuela  come out in force to support Maduro against the American backed Coup to overthrow him. Maduro was democratically elected, but America wants a more right-wing Leader:

#video on politics","Maduro, American, Coup; Maduro, America","Maduro, American, Coup; Maduro, America",,martinlaura992
130,,".@vladimirpadrino, @Ivanr_HD, @MaikelMorenoTSJ: You know well the role you played in planning today’s move for democracy in Venezuela. You must now stand and do what is right for Venezuela. We, and the world, will hold you accountable for those Venezuelans who are injured today. ",Venezuela; Venezuela; Venezuelans,Venezuela; Venezuela; Venezuelans,,oligophrenie
131,,@NicolasMaduro Constitutionality  mutual respect huh? This image of your loyal dogs running over people suggests otherwise! You are a dictator and your tyrannical regime will sooner or later fall! Free the people of #Venezuela!,Constitutionality; ;;,; ;;,,ProgreB
132,"France, MayDay","Wow. Absolute chaos today in #France on #MayDay.

But most media outlets won’t be broadcasting Macron’s police assaulting and tear gassing unarmed protesters. They’re too busy generating propaganda to start a war in #Venezuela. #YellowVests #GiletsJaunes ",;;Macron;;,;;Macron;;,,J164211344
133,,"Like Operation JUST (BE)CAUSE -- but targeting a vastly bigger (and better-armed) thugocracy, plus GRU 'advisers', and great (nuclear) power confrontation.

No thanks, I'll pass.

",GRU;,GRU;,,Tommi93989561
134,,The idea of a transition wherein chavismo takes a seat is a guarantee Venezuela will not be considered a trustworthy partner by international investors. A fox in a chickencoop. Elections must give them a place if they are to have one.,Venezuela;;,Venezuela;;,https://twitter.com/i/web/status/1123672597902823425,cbivero
135,Venezuela,"#Venezuela's poorly conceived revolt leaves Juan Guaidó and allies like the US looking outmanoeuvred.  Maduro and partners may well feel empowered, with little incentive to talk to a disorganised opposition. @CrisisGroup looks at what comes next. ","Juan Guaidó, US; Maduro;","Juan Guaidó, US; Maduro;",,CitizenPatra
136,,"Pepe Mujica, internationally seen as a sort of “moral” beacon for the Left, says “people shouldn’t throw themselves in front of military tanks” when asked to comment on footage of Maduro’s forces running over people over in #Venezuela.  ","Pepe Mujica, Maduro","Pepe Mujica, Maduro",,madcanro
137,Venezuela,"The Guardian's Soy Boy is lost for words when presented with actual facts about socialist hell hole #Venezuela, watch him squirm......facts are Corbynista Kryptonite!

 ","Guardian's Soy Boy, Corbynista Kryptonite",,,chiefstoker
138,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,medicenharper
139,"maduroregime, Venezuela",Violent pro-#maduroregime ‘colectivo’ gangs organizing to carry out attacks today on civilian protests in #Venezuela,,,,Alicia01957754
140,"SOUTHCOM, HASC, Venezuela",#SOUTHCOM’s Adm. Faller at #HASC on #Venezuela crisis: “Every security challenge and threat in our hemisphere is compounded by the crisis in Venezuela.”,"Adm. Faller, Venezuela","Adm. Faller, Venezuela",,rosalbina_caro
