ID,HashTags,TweetText,mentions_other,output_mentions
29,,FBI secured FISA warrant against Carter Page over concerns he was 'was acting as an agent' of Russia | Raw Story,"FBI,FISA,Carter Page,Russia","[['fbi', 'fisa', 'carter page', 'russia']]"
30,_flanders,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in...  by  via @c0nvey,"FBI,FISA,Trump,Carter Page","[['fbi', 'fisa', 'trump', 'carter page']]"
31,,@seanhannity what about this spy...,,[[]]
32,,Oh you don't say?,,[[]]
33,,@FoxNews @dkrwilliams @oreillyfactor WaPo: FBI wiretapped Trump sorta-adviser Carter Page in 2016. 'Only  American directly targeted with FISA warrant' by Dems &amp; Obama!,"FBI,Trump,Carter Page; American,FISA,Dems,Obama","[['wapo', 'fbi', 'trump', 'carter page'], ['american', 'fisa', 'dems', 'obama']]"
34,,carter page you dumbass. c'mon carter. get a clue carter page,Carter Page;carter;carter page,"[['carter page'], ['carter'], ['carter page']]"
35,,Well at least this takes the heat off @PressSec,,[[]]
36,,But Carter Page was Manafort's biz partner so he could have been caught in the surveillance,"Carter Page,Manafort","[['carter page', 'manafort']]"
37,,Most delicious part of the WaPo Carter Page story.,"WaPo,Carter Page","[['wapo', 'carter page']]"
38,,FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post,"FBI,FISA,Trump,Carter Page,Washington Post","[['fbi', 'fisa', 'trump', 'carter page', 'washington post']]"
39,inners,"So what will be the fate of Carter Page? Will he be mysteriously poisoned or accidentally ""fall"" out of a 4th-story window?",Carter Page;,"[['carter page'], []]"
40,TrumpRussia,We now return to or regularly scheduled program.,,[[]]
41,,"Drips become waterfall, part I.",,[[]]
42,,and again a bang up job by jim comey letting the public know who was under investigation last summer,jim comey,[['comey']]
43,"TrumpRussia, TheResistance","@ funder  
",,[[]]
44,sarahsettgo,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page...  by  via @c0nvey,"FBI,FISA,Trump,Carter Page;","[['fbi', 'fisa', 'trump', 'carter page']]"
45,,"Back on the front page where it belongs. It should only be a few minutes before the next crazy diversion.

 
",;,"[['page'], []]"
46,thingsweheart,FBI obtained a FISA warrant last summer to monitor Trump adviser Carter Page...  by  via @c0nvey,"FBI,FISA,Trump,Carter Page;","[['fbi', 'fisa', 'trump', 'carter page']]"
47,,GOP and DEM Sorosian trolls out in full force 2 keep Carter Page from trending ps does George have healthcare perks?,"GOP,DEM,Sorosian,Carter Page,George,healthcare","[['gop', 'carter page', 'george']]"
48,,Ahh... hello?!,;;,"[[], []]"
49,,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a probe of campaign’s Russia ties,"FBI,FISA, Trump,Carter Page,Russia","[['fbi', 'fisa', 'trump', 'carter page', 'russia']]"
50,,"Carter Page claims the FBI/JD wire tap is just like when the FBI tapped Dr.King... yeah, brah, just like that...except not in every way.","Carter Page,FBI,JD,FBI,Dr.King;","[['carter page', 'fbi', 'fbi']]"
51,,FBI obtained FISA warrant to monitor former Trump adviser Carter Page via /r/politics,"FBI,FISA,Trump,Carter Page","[['fbi', 'fisa', 'trump', 'carter page']]"
52,,A FISA warrant against US national requires evidence they knowingly participated in clandestine intel ops.,"FISA, US",[['fisa']]
53,,@rideatdawn Nah... hack dossier damn it!,;,[[]]
54,,This Breitbart guy.,Breitbart,[[]]
55,,"If Nunes saw Carter Page unmasked on a FISA warrant, no wonder he ran to the White House...wonder what else he saw? Rep Schiff do your thing","Nunes,FISA,Carter Page,White House;Rep Schiff","[['nunes', 'carter page', 'fisa', 'white house'], ['rep']]"
56,,@united just gave lifetime premier status to @PressSec and Carter Page.,Carter Page,[['carter page']]
57,,FBI obtained FISA warrant to monitor former Trump adviser Carter Page,"FBI,FISA,Trump,Carter Page","[['fbi', 'fisa', 'trump', 'carter page']]"
58,,"But the problem is the leaks, right 45?",,[[]]
59,,@RDebag @jaketapper @MichLKosinski Like I said (and the FBI said) Zero evidence. Just BS conjecture. Is carter page being charged? No.,FBI;;Carter Page;,"[[], ['carter page'], [], ['fbi']]"
60,"TrumpRussia, LoserPOTUS","The walls inch ever closer. Hang in there, folks. Stay focused on  and  will be gone soon.",;;,"[[], [], []]"
61,"spicer, SyriaStrikes, TrumpRussiaCollusion",Enough of  and  let's get back to the basics,,[[]]
62,,"""Carter Page""",Carter Page,[['carter page']]
63,,Comrade Comey did as his Puppet Master ordered.,"Comrade Comey,Puppet Master",[['comey']]
64,,@FoxNews @dkrwilliams @oreillyfactor FBI  / Hillary's Andrew McCabe was secretly working with Lynch/Obama/Rice to spy on Donald Trump team VIA any means necessary! Carter Page,"FBI,Hillary,Andrew McCabe,Lynch, Obama, Rice, Donald Trump; Carter Page","[['carter page'], ['fbi', 'lynch', 'obama', 'rice', 'donald trump']]"
65,,Here we go again...,,[[]]
66,,FISA court granted FBI authority to monitor Trump adviser Carter Page during campaign:  via @slate,"FISA,FBI,Trump,Carter Page","[['fisa', 'fbi', 'trump', 'carter page']]"
67,,So proof that Trump's team was colluding with the Russians,"Trump,Russians","[['trump', 'russians']]"
68,,Well...,,[[]]
69,"inners, msnbc, cnn",Who Is Carter Page? A Liar. 8 Things You Need to Know About the Former Trump Adviser.,Carter Page;;Trump,"[['carter page'], [], ['trump']]"
70,,He's busy trying to destroy the lives of minorities across the country.,,[[]]
71,,Sure hope he does and soon.,,[[]]
72,,Page again. Poor guy…,Page;,"[['page'], []]"
73,,"imagine trying to spin this as good for Trump

this might be the worst thing thats come out so far",Trump;,"[['trump'], []]"
74,,FBI obtained a FISA warrant on Carter Page (former Trump advisor) on basis of probable cause he was operating as a foreign Russia agent.,"FBI,FISA,Carter Page,Trump,Russia","[['fbi', 'fisa', 'carter page', 'trump', 'russia']]"
75,inners,@politicques They tried to say they'd never even heard the name Carter Page! I saw 45* call him by name as a way to impress.,Carter Page;,"[['carter page'], []]"
76,"swamp, DTS",Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser - Fox News The  is deep.,"Carter Page,FBI,FISA,Fox News","[['carter page', 'fbi', 'fisa', 'trump', 'fox news']]"
77,,Happy Passover...,Passover,[[]]
78,,Why did James Comey cover this up while writing the letter about Hillary's emails? Investigate the FBI Director for election tampering too.,"Comey,James Comey,Hillary; FBI","[['comey', 'hillary'], ['fbi']]"
79,,"@JoeNBC Spicy has been an idiot from day1. Carter Page on the other hand is going to snitch.Hey Joe, I'm looking forward to your spin in the morning",Spicy;Carter Page;Joe,"[['carter page', 'joe'], []]"
80,,Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump┬áadviser,"Carter Page,FBI,FISA,","[['carter page', 'fbi', 'fisa']]"
81,,"It's like Office Space: Each day is worse than the last, so you're always seeing the Trump administration at its lowest point!",Trump,[['trump']]
82,FBI,Carter Page lived in Russia for awhile.  Very close to them. Trump said early on he was going to use Page as foreign policy expert.,"Carter Page,Russia;;Trump,Page","[['carter page', 'russia'], [], ['trump', 'page']]"
83,Day82,"Just when the Trump admin gets its very shaky footing. 
Carter Page was being played by Russians. 
Nunes lied about Susan Rice
","Trump; Carter Page,Russians; Nunes,Susan Rice","[['trump'], ['carter page', 'russians'], ['nunes', 'susan rice']]"
84,,"exactly
otoh what info could have been gleaned from this campaign nobody",;,"[[], []]"
85,"Inners, p2, TrumpRussia, tcot",Whoa. @washingtonpost : FBI Granted FISA Warrant to Monitor Fmr. Trump Advisor Carter Page.,";;FBI, FISA,Trump,Carter Page","[[], ['trump', 'carter page'], ['fbi', 'fisa']]"
86,,My pick≡ƒñæ,,[[]]
87,,Carter Page about to be thrown under a bus so hard he'll wish he was flying United.,"Carter Page,United","[['carter page', 'united']]"
88,,"I would NEVER contradict, but, Sam Clovis?? @yottapoint",Sam Clovis;,"[[], []]"
89,,Oh boy.,,[[]]
90,,"Carter Page

FBI convinced FISA judge to provide warrant. Based on what? We don't know.

","Carter Page; FBI,FISA;;","[['carter page'], ['fbi', 'fisa'], [], []]"
91,TeamTrumpRussia,is gonna get busted. Oh dear....whatever will we do when the trash is taken out of the Whitehouse to the dump? Call HRC!!!,;;Whitehouse;HRC,"[[], ['hrc'], []]"
92,,We now return to our regularly scheduled programming.,,[[]]
93,"TrumpRussiaCoverUp, 25TrumpNow","What kinda crazy sh*t will Sean Spicer say to divert attention from this bombshell?  
",sean spicer,[['sean spicer']]
94,,When are we gonna get the big news of russian collusion after a year of duplicitous wiretaps of Trump's entire team?,"Trump,russian","[['russian', 'trump']]"
95,,@selectedwisdom @washingtonpost it seems Trump's wiretapping accusation is an aggrandized truth-stretched variant of what happened to Page,"Trump,Page","[['trump', 'page']]"
96,,****FBI reportedly probed ex-Trump aide Carter Page during campaign****  via @nypost,"FBI,Carter Page","[['fbi', 'trump', 'carter page']]"
97,,FBI got FISA warrant 2 monitor Trump adviser Carter Page. Why those connected 2 @POTUS also connected 2 Russia?,"FBI,FISA,Trump,Carter Page;Russia","[['fbi', 'fisa', 'trump', 'carter page'], ['russia']]"
98,,wow they had a warrant this is just like watergate,watergate,[[]]
99,,These Trump people have no shame.,Trump,[['trump']]
100,"Davenport, Iowa",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post,"FBI,FISA,Trump,Carter Page,Washington Post","[['fbi', 'fisa', 'trump', 'carter page', 'washington post']]"
101,,Washington Post FBI obtained FISA warrant to monitor former Trump adviser Carter Page Washington Post The FBIΓÇª,"Washington Post,FBI,FISA,Trump,Carter Page,Washington Post","[['fbi', 'fisa', 'trump', 'carter page']]"
102,,"@ZZMAMA1 So, Carter Page and Spicer are having bad days...slmfao.","Carter Page,Spicer;","[['carter page', 'spicer']]"
103,,I mean...,,[[]]
104,,@billbong9059 @realDonaldTrump FBI and the Justice Department obtained the warrant targeting Carter Page communications. How'd they get that?Probable cause.,"FBI,Justice Department,Carter Page;;","[['fbi', 'justice', 'carter page'], []]"
105,,Im going to lose my mind cnn shows the spicer interview with wolf one more time. Where the hell is carter page story?,"cnn,spicer;Carter Page","[['carter page'], ['spicer']]"
106,,I think we discovered today that @seanspicer is a closet Nazi.,Nazi,[[]]
107,,"Small starter list of today's new swept under the magic carpet:

1. AG Sessions
2. Carter Page
3. Devin Nunes

Ketchup!",;;;AG Sessions;;Carter Page;;Devin Nunes;;Ketchup,"[[], [], [], [], ['carter page'], [], ['devin nunes'], []]"
108,,A FISA warrant was granted for Carter Page huh??? 45* not looking good at all.,"FISA,Carter Page;","[['fisa', 'carter page'], []]"
109,TrumpRussia,New details have emerged in  probes,,[[]]
110,,Everything you said is true,,[[]]
111,"Trumprussia, RussiaGate","Lock them all up! FLYNN, PAGE, TRUMP is responsible and should be impeached    GRRRR",;FLYNN;PAGE;TRUMP,"[[], ['flynn', 'page', 'trump']]"
112,,nothing to see here move along pay no attention to the man behind the curtain,,[[]]
113,,"Weakness spreads like fear whenever any such piece fails
That fear begets true confessions.
Hallelujah Gen. Flynn - Mr. Asshole Yellow Belly",";;Hallelujah,Flynn, Gen. Flynn","[[], [], ['flynn']]"
114,,Spicer owes Carter Page...,"Spicer,Carter Page","[['spicer', 'carter page']]"
115,,It's just so fitting that Carter Page sounds like the name of a very lame James Bond ripoff character.,"Carter Page,James Bond",[['carter page']]
116,,Maybe Obama is seeking asylum in Germany,"Obama,Germany","[['obama', 'germany']]"
117,,"Wait, didn't @maddow crack this can of Carter Page open like, 3 weeks ago? Or someone else..?",Carter Page;,"[['carter page'], []]"
118,"TrumpRussia, RussiaGate",Let's stay focused on,,[[]]
119,,"Comey was doing all this during the time he dropped that Hillary letter on us, btw.","Comey,Hillary","[['comey', 'hillary']]"
120,,Why did the FBI suppress the Carter Page story? This is less important than a stupid email server???,"FBI,Carter Page;","[['fbi', 'carter page'], []]"
121,,Dude acts like he's on meth. Sucky liar *and* a tweaker.,;,"[[], []]"
122,,Carter Page,Carter Page,[['carter page']]
123,,"Many ""holy sh*t""s:
- probable cause that Russian agent was on Trump campaign
- Comey sat on this, made hay over HRC
- Page sez he's like MLK",";Russian,Trump;Comey,HRC;Page,MLK","[[], ['russian', 'trump'], ['comey', 'hrc'], ['page', 'mlk']]"
124,inners,Trump has access to Intel. He knew of FISA Warrant/Carter Page &amp; still said no when asked if his campaign was n contact w/ Russia,"Trump;FISA,Carter Page,Russia","[['fisa', 'carter page', 'russia'], ['trump']]"
125,,@AnnCoulter Wow let's talk about FISA that FBI took out on Carter Page 2016.,"FISA,FBI,Carter Page","[['fisa', 'fbi', 'carter page']]"
126,,FBI was monitoring Carter Page WTF did Comey come up with those Bogus emails about Clinton @SMShow @OccupyDemocrats @JohnFugelsang @funder,"FBI,Carter Page,Comey,Clinton","[['fbi', 'carter page', 'comey', 'clinton']]"
127,,****FBI obtained FISA warrant to monitor former Trump adviser Carter Page****,"FBI,FISA,Trump,Carter Page","[['fbi', 'fisa', 'trump', 'carter page']]"
128,,@shaltsch Sam Clovis.,Sam Clovis,[[]]
129,,"Comey didn't announce this but on October 28, he went out of his way to announce the non-story of Clinton's emails","Comey,Clinton","[['comey', 'clinton']]"
130,TrumpRussia,"...because he was a Russian agent.  On Trump's campaign team.
",;Russian;Trump,"[['russian'], ['trump']]"
131,,We just found out about FISA Warrant n Carter Page and this is the best @realDonaldTrump can come up with to distract?,"FISA,Carter Page","[['fisa', 'carter page']]"
132,,Jail time,,[[]]
133,,"Let us not be distracted by ignorance, @PressSec",,[[]]
134,,FBI had probable cause that Trump adviser Carter Page was acting as a foreign agent for Russia &amp; got a FISA warrant,"FBI,Trump,Carter Page,Russia,FISA","[['fbi', 'trump', 'carter page', 'russia', 'fisa']]"
135,"racetowitsec, kremlinklan, putinspuppet",Whichever one doesnt want to be thrown from a building or poisoned,,[[]]
136,,A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia,"FBI,Carter Page,Russia;","[['fbi', 'carter page', 'russia']]"
137,,@JoeNBC PUTIN Puppet Show Is Now. ...Punch &amp; Judy Without the Humor. ...Was Carter Page in Janesville WI in September? Simple Question Yes or No,"PUTIN;;Judy;Carter Page,Janesville;","[['carter page'], [], [], []]"
138,,@leyles7 Me too.  Have heard about Carter Page?  FBI requested a FISA warrant last year to follow his activities in Russia,";Carter Page;FBI,FISA,Russia","[[], ['carter page'], ['fbi', 'fisa', 'russia']]"
139,,Yawn,,[[]]
140,,"@washingtonpost Dear Carter Page, if a judge granted the FISA, THERE WAS EVIDENCE such as you meeting with two known Russian spies. Traitorous!","Carter Page,FISA,Russian;","[['carter page', 'fisa', 'russian'], []]"
141,,"Mutiny from stern to bow
Ah, but I was so much older then, I'm younger than that now",;,"[[], []]"
142,,"""probable cause to believe Page was acting as an agent of a foreign power""",Page,[['page']]
143,,"Maxine Waters is DA WOMAN. THANK YOU for not EVER letting go of the REAL scandal: TREASON, collusion with Russia.",Maxine Waters;Russia,"[[], ['russia']]"
144,,WashPost: FBI granted FISA warrant 2monitor Trump policy adviser Carter Page.FISA court found probable cause DT aide acting as foreign agent,"FBI,FISA,Trump,Carter Page;FISA","[['fbi', 'fisa', 'trump', 'carter', 'dt']]"
145,,"@normative Which says a LOT about Carter Page,",Carter Page,[['carter page']]
146,"inners, maddow, lastword, TrumpRussia, Russiagate","
FBI Counterintelligence Obtained  FISA Warrant For Carter Page","FBI,FISA,Carter Page","[['fbi', 'fisa', 'carter page']]"
147,,@proust1974 He was so close to Trump that Flynn said he never even met Carter Page iirc.,"Trump,Flynn,Carter Page","[['trump', 'flynn', 'carter page']]"
148,TrumpRussia,"Carter Page had other contacts with Russian operatives that have not been publicly disclosed.
 

","Carter Page,Russian;","[['carter page', 'russian']]"
149,,GOP and DEM,"GOP,DEM",[['gop']]
150,,@Reuters Besides Carter Page acting as a foreign agent there has to be alot more in the WH.,"Carter Page,WH","[['carter page', 'wh']]"
151,,"Comey is a POS. Major press event with Weiner email, but he KNEW about FISA warrant. Did it anyway, knowing the result would help tRump.","Comey;Weiner,FISA;tRump","[['comey'], ['trump'], ['fisa']]"
152,,What a tangled web they weave... I'm so grateful for our Intel community and FBI who will untangle all of it and lock them up!,;FBI,"[[], ['fbi']]"
153,AllColluded,@maddow Seems Carter Page drew the short straw. Trump &amp; Co. offering up Page to FBI to take the blame for Russian interference.,"Carter Page;Trump,Page,FBI,Russian","[['carter page'], ['trump', 'page', 'fbi', 'russian']]"
154,Fiverr,Check this out! I will do computer networking and IT security on   Sean Spicer Carter Page,";sean spicer,Carter Page","[[], []]"
155,,@DoctorPeterD @thehill We have seen what happens. Carter Page was unmasked (it's in the press) and all signs point toward the former administration. 1/2,;Carter Page;,"[[], ['carter page'], []]"
156,,Warrant on Carter Page shows we no longer have smoke. We have extreme heat. Acting Atty General must appoint a SpecΓÇª,Carter Page;;Acting Atty General,"[['carter page'], [], []]"
157,funder,BREAKING: FBI obtained FISA warrant to monitor former Trump adviser Carter Page  by  via @c0nvey,"FBI,FISA,Trump,Carter Page","[['fbi', 'fisa', 'trump', 'carter page']]"
158,,March 2016:,,[[]]
159,,@cnnbrk @Evan_McMullin Good Lord how many scandals can Trump  et al generate in a day? Carter Page FISA story and now this,"Trump;Carter Page,FISA","[['carter page fisa'], ['trump']]"
160,trumprussia,Carter  fbi warrant,"Carter,fbi","[['carter', 'fbi']]"
161,,"Place you bets, I say @realDonaldTrump will be out of office in next 12 months And @mike_pence needs to follow him too  ""Carter Page""",Carter Page,[['carter page']]
162,"Trumprussia, TrumpRussiaCollusion, russiagate","  
 I remember his shit eating grin when Chris Hayes was interviewing him on",Chris Hayes,[['chris hayes']]
163,,Almost a year later the Carter Page FISA news drops and this is BIG news? (Sarcasm) Dems working overtime to blow it up!,"Carter Page,FISA;Dems","[['carter page fisa'], ['dems']]"
164,TrumpRussia,"One of the two presidential candidates was under FBI investigation on Election Day, &amp; it wasnt Hillary Clinton.  Carter Page","FBI,Election Day,hillary,Hillary Clinton;Carter Page","[['carter page'], ['fbi', 'hillary clinton']]"
165,,"@FBI BUT WENT AFTER HRC, NOW WE HAVE A LUNATIC IN THE WHITE HOUSE AND U HAVE BIG RESPONSIBILITY FOR THIS",HRC,"[['hrc', 'white house']]"
166,,FBI obtained FISA warrant to monitor former Trump adviser Carter Page makes Comey's subsequent actions all the more unfathomable.,"FBI,FISA,Trump,Carter Page,Comey","[['fbi', 'fisa', 'trump', 'carter page', 'comey']]"
167,Russian,"Carter Page, Former Trump Adviser, Monitored Last Summer By FBI Over  Contacts
","Carter Page,Trump,FBI","[['carter page', 'trump', 'fbi']]"
168,,this one is a real page turner,,[['page']]
169,trumpRussia,@SenateGOP @washingtonpost  featured in a different WAPO article,WAPO,[['wapo']]
170,,"News of FISA Warrant against Carter Page, continuing silence on Flynn, fits inference they've nailed Trump. From 4/4","FISA,Carter Page,Flynn,Trump;","[['news of fisa warrant', 'carter page', 'flynn', 'trump'], []]"
171,,"The Obama administration used the national security intelligence apparatus against its political enemies, because the IRS wasn't enough.","Obama,IRS",[['obama']]
172,,"United Airlines thanks Carter Page, Devin Nunes and most importantly Sean Spicer","United Airlines,Carter Page,Devin Nunes,sean spicer","[['united', 'carter page', 'devin nunes', 'sean spicer']]"
173,,I know you are not trying to say Trump was right about illegal wiretapping by PBO. Worst spin of a legal FISA warrant by FBI.... ever.,"Trump,PBO;FISA,FBI;","[['fisa', 'fbi'], ['trump']]"
174,,But her eemmmaaaaiiiiiiiiilllllllllllsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,,[[]]
175,,TRUMPLAND TODAY Sean Spicer says Hitler didn't gas anyone. Carter Page says FBI surveillance of him is like spying on Martin Luther King,"TRUMPLAND,sean spicer,Hitler;Carter Page,FBI,Martin Luther King","[['sean spicer', 'hitler'], ['carter page', 'fbi']]"
176,,NOT breaking- (to those of us paying attention ) thanks to @LouiseMensch,,[[]]
177,,"But those @HillaryClinton emails........(looking for ""head exploding"" emoji)",,[[]]
178,,"I created this Tease for ""carter page"" using T. Go to  to create &amp; share a Tease for any topic.",Carter Page,"[['tease', 'carter page', 'tease']]"
179,,It's like they don't get that what's been confirmed here is that there is major evidence of collusion.,,[[]]
180,,"Will someone tell the MSM? Oh yeah, they already know.",MSM;,"[['msm'], []]"
181,,The FBI obtained a warrant to monitor former Trump adviser Carter Page.,"FBI,Trump,Carter Page","[['fbi', 'trump', 'carter page']]"
182,,@matt_rawlik here's those FISA's we were talking about,FISA,[['fisa']]
183,,"@AAANYC1 @M2324M @THXOne138 @cnnbrk Maybe you prefer the word of @Sebastiangorka, or Carter Page, Manafort, or Tillerson. Nothing to see comrade.","Carter Page,Manafort,Tillerson;","[[], ['carter page', 'manafort']]"
184,,@ResistanceParty Oh is this the oil industry consultant Carter Page?? &amp; Who pray tell recommended him??,;,"[['carter page'], []]"
185,SDLive,"Washington Post app download 

  Carter Page",Washington Post;Carter Page,"[['washington post'], ['carter page']]"
186,,CEO of Russia Oil offered Trump adviser he felt deal to get US sanctions lifted:,"CEO,Russia,Russia Oil,Trump,US","[['russia', 'trump']]"
187,,"So...either Trump was duped or was complicit

",Trump,[['trump']]
188,,quel surprise!    FBI obtained FISA warrant to monitor former Trump adviser Carter Page,";FBI,FISA,Trump,Carter Page","[[], ['fbi', 'fisa', 'trump', 'carter page']]"
189,,Why didnt FBI annouce that investigation,FBI,[['fbi']]
190,,This may be awkward....,,[[]]
191,inners,"Relieved that Trump only surrounds himself with the best people-the best people with Russian ties: Carter Page,Flynn,Manafort...
","Trump,Russian,Carter Page,Flynn,Manafort","[['trump', 'russian', 'carter page', 'flynn', 'manafort']]"
192,"Trumprussia, russiagate",Carter Page under investigation for suspicious Russian ties,"Carter Page,Russian","[['carter page', 'russian']]"
193,,So the second domino falls - who gets the best deal??? Hope they took his passport,;,"[[], []]"
194,russiagate,"Think @maddow will be telling the ""Carter Page to Russia with Love"" story tonight?","Carter Page,Russia","[['carter page', 'russia']]"
195,,"@realDonaldTrump Yep, Carter Page was being survield. FISA warrent issued, you asked Russia to find 30K @HillaryClinton emails hose coming","Carter Page;FISA,Russia","[['carter page'], ['fisa', 'russia']]"
196,,The FBI don't drop a dime until its time.,FBI;,[['fbi']]
197,bfd,A freaking .,,[[]]
198,,@washingtonpost Carter Page is despicable.,Carter Page,[['carter page']]
199,,Our incompetent lazy MSM is always late to the party  @LouiseMensch @MelissaJPeltier @RVAwonk,MSM,[['msm']]
200,,"@AAANYC1 @M2324M @THXOne138 @cnnbrk Like this, you mean?",,[[]]
201,,Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser,"Carter Page,FBI,FISA,","[['carter page', 'fbi', 'fisa', 'trump']]"
202,CarterPage,.@KeithOlbermann - In one of vids he said to keep an eye on . Good call!,;,"[[], []]"
203,,This is like the Warriors claiming they won back to back championships...,Warriors,[[]]
204,"CarterPage, TrumpRussia","Recruited as a spy by Russia, foreign policy advisor  being investigated as part of  case.",Russia,[['russia']]
205,,I will not spend the night reading about Trump I will not spend the night reading about Trump I will not spend the night reading about Trump,"trump,trump,trump","[['trump', 'trump', 'trump']]"
206,,"&amp; for those Breitbarters thinking this is proof of untoward surveillance?If there's a finding that Page WAS a foreign agent, Trump is toast","Breitbarters;Page,Trump","[['page', 'trump']]"
207,Trump,FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post. Fish Rots from,"FBI,FISA,Trump,Carter Page,Washington Post;","[['fbi', 'fisa', 'trump', 'carter page', 'washington post'], []]"
208,,"@USARedOrchestra  Yes, and just a few weeks ago DJT was tripping over himself distancing from Carter Page. Now we know why.","DJT,Carter Page;","[['djt', 'carter page'], []]"
209,,trump is now original classifying authority right &amp; can just unilaterally declassify anything he wants. carter page,trump;Carter Page,"[['trump'], ['carter page']]"
210,,AND then there is this... Proof that Susan Rice had every legal right to unmask names under Obama's term &amp; we owe them TY for protecting USA,";Susan Rice,Obama,USA","[[], ['susan rice', 'obama', 'usa']]"
