ID,HashTags,TweetText,annotation_limited types,ritter_candidates,calai_candidates,stanford_candidates,User
19,trumprussia,Emile Harmon 's latest tweet . 15 People Wounded After Shooting at Miami Nightclub,"Emile Harmon,Miami","fbi,carter page,russia","['russia', 'carter page', 'fbi']","fbi,carter page,russia",funder
20,,RT @ehteramkargar : Join us 13 June 2015 for D Grand Gathering in #Paris #Austria #germany #Australia #Iran_Maryam,"D Grand Gathering,#Paris,#Austria,#germany,#Australia","fbi,trump,carter page,the washington post","['adviser', 'the washington post', 'the washington post', 'fbi', 'carter page']","fbi,fisa,trump,washington post",LSURay
21,,RT @markiplier : Filmed something REALLY cool today . So tomorrow keep an eye out for a certain TV show that I may or may not be on ;),,"sean,carter page",['carter page'],"hocaust centers,carter",Diane_Warren
22,,We're #LiveOnKOMO at 5 with new info out of DC Navy shooting and gunman 's Seattle ties . @MichelleKOMO digs into Aaron Alexis ' past .,"DC,Seattle,Aaron Alexis",,[],,CaronScott5
23,,Happy Friday Godbless everyone #ALDUBTrust,,"chris hayes,carter page,carter","['carter page', 'fbi', 'chris hayes']","chris hayes, carter,fbi",TrumpHaterShirt
24,,"SPC Jan 7 , 2016 0600 UTC Day 1 Convective Outlook https://t.co/B5SPLNnM3e",,"fbi,trump,carter page","['adviser', 'carter page', 'fbi']","fbi,fisa,trump,carter page.",christineltroch
25,,I liked a @YouTube video from @fastelectloud My Son 's 13th Birthday Surprise !! ( BenQ Gaming Monitor RL2455HM ),BenQ Gaming Monitor RL2455HM,,['us'],"fisa,us",racheline_m
26,,I'ma go back Saturday night . https://t.co/YehZxttlQF,,,[],,JetlifeMegs
27,hardball,Soccer #Livescore : ( ROU-2S2 ) #OlimpiaSatuMare vs #FCBihor : 0-1 . 2nd Half Started ...,"ROU-2S2,#OlimpiaSatuMare,#FCBihor","sean spicer,libs,carter page","['doj', 'carter page', 'sean spicer']","sean spicer,doj,carter page",DCjusticeseeker
28,,RT @LASD_News #LASD Arson/Explosives Detail ( Bomb Squad ) on scene assisting at Santa Monica College re : shooting incident @SantaMonicaPD,"#LASD,Santa Monica College","carter page,syria","['carter page', 'syria']","carter page,syria",JrgLaw
29,,#Russia believed to be behind #Pentagon 's Joint Staff email breach … pic.twitter.com/4rDMGYbSUl,#Russia,"carter page,russia","['russia', 'fbi', 'carter page']","fbi,fisa,carter page,russia",blazinbabs67
30,_flanders,"Jaguar : XK8 XK8 1997 jaguar xk 8 no reserve : $ 6,995 . 00 ( 0 Bids)End Date : Sunday Nov-29-2015 19:10 : 52 PSTBid ... https://t.co/rTp87f19rU",Jaguar : XK8 XK8 1997 jaguar xk 8 no reserve,"fbi,trump,carter page","['adviser', 'fbi', 'carter page']","fbi,fisa,trump",Sparblack1213
31,,My #prayers w/ #Chattanooga shooting victims ' families n all #Marines and #ArmedForces wherever they serve #getrid of #ISIS #forgood #USA,"#Chattanooga,#ISIS",,['this spy'],,pigs_wing
32,,My boss told me to take Sunday off and III Points is starting to sound like a good idea,,,[],,DixiDoodle
33,,Grand jury rules shooting not authorized #Atlanta,#Atlanta,"fbi,carter page,fisa,dems,obama","['carter page', 'fbi']","fbi,trump",glennyork
34,,SOMEONE COME WITH ME TO KRISPY KREME TOMORROW,KRISPY KREME,"carter page,carter,carter page","['carter page', 'carter page']",,LydiaBurrell
35,,@NitroFun I love you Gus . If we don't talk tomorrow or the day after I hope you have a Merry Christmas ( but I hope we will ),"Gus,Merry Christmas",,[],,LisaBednarski
36,,RT @AndreaRussett : so excited for U guys to see my new video friday ! make sure ur subscribed :),,carter page,['carter page'],carter page,omyword
37,,11:11 I play good tomorrow,,carter page,[],wapo,HaroldItz
38,,"1 dead , 6 hurt in Sacramento park shooting",Sacramento,"fbi,trump,carter page,the washington post","['adviser', 'the washington post', 'the washington post', 'fbi', 'carter page']","fbi,fisa,trump,washington post",RadioChio
39,inners,RT @LittleBrum_ : **Kong Mug** RT and follow for a chance to win ! ( Winner announced Sun 8 Nov ) https://t.co/Sp404WS3EA,,carter page,"['carter page', 'he']",carter,MeLoseBrainUhOh
40,TrumpRussia,"#Ticket - 2015 CMA Music Festival - 2 tickets - Sec . 211 , Row D : $ 1,450 . 00End Date : Sunday Apr- ... #Tennessee_US",2015 CMA Music Festival,,[],,RyGil01
41,,"Listen to "" The Many Faces Of #Aspartame "" as Mary Nash Stoddard talks to June Stoyer on @TheOrganicView #WeightLoss","Mary Nash Stoddard,June Stoyer",,[],,charnesshartman
42,,The San Bernardino shooting is the second mass shooting today and the 355th this year,San Bernardino,jim,[],,marcushjohnson
43,"TrumpRussia, TheResistance",I have been on Twitter for 5 years and 9 months ( since 24 Nov 2009) . And you ?,Twitter,,[],,NoAltFacts1984
44,sarahsettgo,RT @spittman91 : Got an audition for a play called Greetings on August 29th . #Blessed,Greetings,"fbi,trump,carter page","['fbi', 'trump adviser', 'carter page']","fbi,fisa,trump,carter",StonZMGMT
45,,That 's crazy .. Pray for the people in the Saylorsburg shooting,Saylorsburg,,[],,ZazuRules
46,thingsweheart,"RT @Jenn_Thompson : Apr 9 , 2015 DISCOVERY THURSDAY 9pm @laundrybar CURVE ft . #Armon #IsaacHo #Sick @ThreeMalaysia",,"fbi,trump,carter page","['fbi', 'trump adviser', 'carter page']","fbi,fisa,trump,carter",DecentFida
47,,"RT @belkacemi : When the sun has set , no candle can replace it .",,"dem sorosian,carter page,george","['carter page', 'healthcare', 'gop']","gop,george",tiwhitter
48,,RT @CandiceCodyMD : &lt; 3333 @ucantdothat121 doesn't need a 2nd chance . Such a class act all the way around . #winning #SurvivorFinale,,,[],,pammy_facepaint
49,,Hey check this out …,,"fbi,trump,carter page,russia","['russia', 'fbi', 'carter page', 'adviser']","fbi,fisa,trump,carter page,russia",kwanzer
50,,. @POTUS on #ChattanoogaShooting : It’s a heartbreaking circumstance pic.twitter.com/aL5Djt2F7m,,"carter page,fbi,king","['carter page', 'fbi', 'fbi', 'king']","carter page,fbi",Aarapparent
51,,"RT @dekyala : 150610 #MarkBam #MarkTuan #BamBam #GOT7 1st Fan Meeting in Osaka , Japan","#MarkBam,#MarkTuan,#BamBam,#GOT7,Osaka,Japan","fbi,trump,carter page","['fbi', 'carter page', 'adviser']","fbi,fisa,trump",SubPolitics
52,,"In my 4th period class . We have two more days of exams and I am exempted . But , I can't leave my friends like that .",,us national,['us'],us,BrianNormoyle
53,,Kijken ! https://t.co/2JbwGnTlWm,,,[],,EricJGilbert
54,,Sunday work mode tired ! #MTVEMA #NominateNadineLustre,,,[],breitbart,snottypants
55,,China fines Microsoft for breach of rules with Xbox division | N4G …,"China,Microsoft,Xbox","nunes,carter page,white house","['carter page','white house']","nunes,carter page,schiff",spokanetom
56,,You brighten up my day when the sun don't shine,,carter page,['carter page'],carter page.,BrianWithAnE
57,,RT @thepamilerin : Get ready for November 14th . Its going down !! #Goat2015,,"fbi,trump,carter page","['fbi', 'carter page', 'adviser']","fbi,fisa,trump,carter page",ele_wolfe
58,,Tired of being treated 2nd best .. I deserve way better than this I'm struggling to make ends meat while you drink from a holy grail .,,,[],,mdh9876
59,,"Last-minute gig tonight at Brass House with Tarik Hassan ( and maybe others ? ) , 7-11pm . Then Friday at Gumbo's...","Brass House,Tarik Hassan",carter page,"['carter page', 'fbi']",fbi,Inglorious123
60,"TrumpRussia, LoserPOTUS","At Least 12 Dead , 20 Reportedly Wounded in San Bernardino Shooting …",San Bernardino,,[],,BillSchultzeJr
61,"spicer, SyriaStrikes, TrumpRussiaCollusion","@stefeeeey talaga ba ? baka naman ano lol jk pakisabi ok lang yan may next year pa naman , marami pa pagkakataon hahahaha",,,[],,RobertDriemeyer
62,,Hackers successfully breach U.S. Department of Energy’s systems 150 times | GOVERNMENT SLAVES …,U.S. Department of Energy’s,carter page,[],,justsickoflies
63,,"Fasting for sleep . Haven't eaten for 10 hours . 11 more hours to go . Tomorrow morning if I see you , I eat you . #gradschoolproblems",,,['comey'],comey,truth_trumpet
64,,Love is like the Sun it shines bright and warms your heart .,,"fbi,hillary,andrew mccabe,donald trump,carter page","['andrew mccabe', 'carter page', 'fbi']","fbi,andrew mccabe,donald trump",glennyork
65,,Someone may ask you to participate in a community event or to ... More for Scorpio,Scorpio,,[],,WhyAsk65
66,,Tuesday Transformation : Lindsay,,"trump,carter page","['fisa court', 'fbi', 'carter page', 'adviser']","fbi,trump,carter page",slatest
67,,Watching for #severewx potential on Saturday .,,trump,[],,Karadur_Zero
68,,RT @amiseattle : #check #checkthisout https://t.co/VnndEEHcMh,,,[],,DalanOverstreet
69,"inners, msnbc, cnn",RT @TAMAHOOCHIE : Me on Saturday - Sunday Vs Me on Monday,,carter page,"['carter page', 'adviser']","carter,trump adviser.",BlackJesuscom
70,,RT @dog_rates : Ok last one of these . I may try to make some myself . Anyway here ya go . 13/10 https://t.co/i9CDd1oEu8,,,[],,jmichaelkell
71,,Bilang kayo ng 10 seconds may REPLAY na yan ! AlDubnation pa ba ? Hahahaha . #ALDUBSumptuousLunch,,,[],,sdbees1953
72,,1 amazing follower in the last week and there will be more tomorrow . Growing with,,,[],,DonnaJo1002
73,,"RT @camxo__ : when his boys call and he says "" nah I'm laid up w my girl right now , I'll catch yall tomorrow """,,trump,[],trump,Philatticus
74,,"@null Senin , 06 April 2015 Jam 10:59 : 50",,"fbi,carter page,russia","['advisor', 'fbi', 'russia']","fbi,fisa,russia",dnmilikan
75,inners,RT #TBRList https://t.co/LaLOBugB1g,,carter page,"['carter page', 'him']",carter,NoctilucentClou
76,"swamp, DTS","RT @MVTHS : MVTHS will not be in session Thursday March 5th , 2015 due to inclement weather .",,"carter page,fox news the","['carter page', 'adviser', 'fbi']","carter,fbi,fisa",trmcolorado
77,,CNN : The FBI says the motive behind the San Bernardino shooting incident is still unknown -cnnphilippines,"CNN,FBI,San Bernardino",,['passover'],,Analogbear
78,,"San Bernardino shooting live updates : Multiple fatalities confirmed by police , no suspects in custody",San Bernardino,"james,hillary","['director for election tampering too', 'fbi', 'james comey']","james comey,fbi",drhug
79,,Highland Park Releases Video Of Police Shooting In Hospital #chicago,Highland Park,"carter page,joe",['carter page'],,mikeinbama
80,,Please keep those injured in today 's #ChattanoogaShooting in your prayers & please pray for families of the victims too .,,carter page,"['carter page', 'fbi']","carter,fbi,fisa",Siddharthjrs
81,,People at post advised to shelter in place : Fort Hood confirms that a shooting has occurred at the U.S. Army p ...,"Fort Hood,U.S. Army",office space,['trump administration'],trump,adammc123
82,FBI,"RT @PatamaPost : Basta dapat , pag may chance kang gawin . Gawin mo na agad . Habang di pa huli ang lahat",,"carter page,russia,trump","['carter page', 'russia']","carter page,russia,trump",shortreddog
83,Day82,"mom , i know na nag ka sakit ka this december pero nangako kasa sa akin at sabi mo na papalitan mo pero bakiw wala .",,"trump,carter page,russians,susan rice","['carter page', 'susan rice']","trump,nunes,susan rice",Gratkin
84,,sadly its only thursday .,,,[],,alcamus
85,"Inners, p2, TrumpRussia, tcot","Events this week : Monday : Games Night , 7:30 pm Tuesday : Quiz Night , 9pm Thursday : Open Mic , 8:30 pm Saturday : Live Music , Al Appleby , 9pm",,"monitor fmr,carter page","['carter page', 'trump advisor', 'fbi']","fbi,trump,carter page.",craftyme25
86,,"Sunday Biker Gang Shooting Leaves Nine Dead , Several Injured …",,,[],,pammykaye
87,,Police identify suspect in #NAU campus shooting as Steven Jones . Police say Jones fired after some sort of fight between 2 student groups .,"#NAU,Steven Jones,Jones",carter page,['carter page'],carter page,JeffreySconce
88,,Members of Iranian rock band slain in Brooklyn shooting,Brooklyn,sam clovis,['sam clovis'],,ChristinLuvsSno
89,,RT @SratSoutherner : **Frantically tries to get life together before tomorrow**,,,[],,wandsci
90,,Linode forces password reset for all users due to suspected breach,Linode,carter page,"['fbi', 'fisa judge']",fbi,unscriptedmike
91,TeamTrumpRussia,Bailey May Steal My Girl Bailey May Steal My Girl Bailey May Steal My Girl Bailey May Steal My Girl @OfficialBaileyM,"Bailey May,Steal My Girl,Bailey May,Steal My Girl,Bailey May,Steal My Girl,Bailey May,Steal My Girl",,[],whitehouse,Mrsresistor
92,,Dude look just like August . https://t.co/MvqXYK7jUu,,,[],,RyGil01
93,"TrumpRussiaCoverUp, 25TrumpNow",RT @ThatsSarcasm : today : stressed tomorrow : stressed next week : stressed next month : stressed next year : stressed next life : stressed,,sean spicer,['sean spicer'],sean spicer,25trumpnow
94,,#TalkTalk #Data #Breach puts CEO in Hot Seat - #cybersecmonth,#TalkTalk,trump,[],,Dont_be_a_dweeb
95,,"FBI confirms deceased Washington Navy Yard shooting suspect identified as Aaron Alexis , 34 …","FBI,Washington Navy Yard,Aaron Alexis",trump,[],,JennyGermaine
96,,Raiders trailing 41-33 as we head to the 4th qtr .,,carter page,"['carter page', 'fbi', 'aide']",carter,jerZboyUSA
97,,@fabriziocometa Like alternative rock ? You'll love Sun Arcana ! Check them out here : https://t.co/AO61ULg1FD,Sun Arcana,"trump,carter page,russia","['carter page', 'monitor trump adviser', 'fbi', 'russia']","fbi,fisa,trump,carter",TVDExcel6
98,,RT @dmcfadden20 : This is a dope edit ! Can't wait to step on the field !! Pre season starts August 13th ! #WedemBoyz,,,[],,UrbanAchievr
99,,#Monday #MemorialDay #BoyleHeights #LA #Cobber #ThisGuy https://t.co/EDUoDLLqb5,"#MemorialDay,#BoyleHeights,#LA",,[],trump,rachelbailin
100,"Davenport, Iowa","RT @askpenners : It 's gone . Done and dusted . History . It 's MARCH everybody ! Now , lets get to it !! @Adam_Penning #timetogetserious",,"fbi,trump,carter page,washington post","['washington post', 'washington post', 'fbi', 'carter page', 'adviser']","fbi,fisa,trump,carter page - washington post",DavenportIowaa
101,,"14-year-old boy killed , 15-year-old wounded in South Side shooting - Chicago Tribune …","South Side,Chicago Tribune","washington post,trump,carter page washington post the fbiγçª","['washington post', 'fbi', 'fbi', 'carter page', 'adviser']","washington post fbi,fisa,trump,carter page washington post",NewsToppers
102,,RT @AstonCurrency : ACM FX Update 12 May 2015,ACM FX,"carter page,spicer",['carter page'],spicer,yynn6001
103,,RT @BestBikiniGirls : Behind the Scenes Interviews with IBT Bikini Models Jun 2015,IBT,,[],,televisionwhore
104,,"tos Another hour ! It 's September 01 , 2015 at 12:04 PM",,"justice department,carter page","['justice department', 'fbi']","fbi,justice department",christy_harlan
105,,It 's practically Christmas in July ! SEC Media Days 2015 ! #SECMD15 #SEC https://t.co/whlz806uPt,"Christmas,SEC Media Days 2015",carter page story,['carter page'],,anuj_pant6
106,,RT @_bkeps : Weekly Sunday night reminder that I suck at life but I'm a fantastic procrastinator,,nazi,[],,kimijtoo
107,,"RT @JesusGraces : Smile , things are working out . You may not see it now , but just know God is directing you .",,"ag sessions 2,carter page 3,devin nunes ketchup","['carter page', 'devin nunes']","ag sessions,carter,devin nunes ketchup!",Hartpolitics
108,,They are getting ready to shoot he is in the reception area near the waiting area they are shooting head high #ColoradoSpringsShooting,,carter page,['carter page'],,MarvB_
109,TrumpRussia,"RT @HuffPostUK : Theresa May 's rent law ' like saying No Dogs , No Blacks , No Irish '","Theresa May,Irish",,[],,Amour_Beignets
110,,RT @cakexlovato : My #TeenChoice for #ChoiceSummerTVStarMale is @greggsulkin because he 's amazing !! Can't wait till August 31 !,,,[],,mary_sturino
111,"Trumprussia, RussiaGate",mon copain il est vraiment adorable,,"flynn,page,trump",[],,BillCar62820023
112,,Raisa tanggal 1 november,,,[],,LauraJSilverman
113,,"Why is it gonna rain all day tomorrow ? I thought it was getting hot ? California , get it together . Please",California,"flynn,asshole yellow belly","['mr. asshole yellow', 'gen. flynn', 'gen.']","flynn,asshole yellow belly",JerryLingle
114,,"9 killed in biker shooting in Waco , Texas . via @CNN","Waco,Texas","spicer,carter page",['carter page'],"spicer,carter page...",RockShrimp
115,,"C'mon people , get a grip ... Why are the Kardashian family even popular ?!?! Like get a grip , man !",Kardashian,"carter page,james bond",['carter page'],"carter page,james bond",nmehranfar91
116,,"RT @OurGirlDemetria : Demi 's new single #CoolForTheSummer will be out on July 1st , 2015 !","Demi,#CoolForTheSummer","obama,germany",['germany'],"obama,germany",cwa92464
117,,RT @MensaOtabil : Some may rush ahead of you but God will not pass you by . You will not miss your DIVINE APPOINTMENT .,God,carter page,['carter page'],,realdasein
118,"TrumpRussia, RussiaGate",New post : Renault domestic sales zoom over twofold in December https://t.co/6VwuXJ4Xs8,Renault,,[],,BCaliNYC
119,,"@ChrisYoungMusic Now , why couldn't this show be tomorrow ? I didn't arrive in time to go !! I know y'all are having fun !",,hillary,[],"comey,hillary",GottaLaff
120,,RT @CAFCofficial : Bournemouth celebrating like they've completely ruled out a 19-0 defeat at The Valley on Saturday . We'll see ... #cafc,"Bournemouth,The Valley",carter page,"['stupid email server', 'fbi']",fbi,RoguePOTUStaff
121,,@OGSchill https://t.co/Yxtw5vVtYO,,,[],,palesnightngale
122,,RT @Louis_Tomlinson : @IrishMirror is that an April fool ?,,carter page,['carter page'],carter page,mrKeithBrennan
123,,Kmart Australia hit by customer data breach including names and addresses : Kmart Australia has called in the p ...,"Kmart Australia,Kmart Australia","russian,trump",[],"trump,comey,hrc",hslatkin
124,inners,null https://t.co/CWdhdehTfX,,"trump,fisa warrant/carter page,russia","['carter page', 'russia', 'intel']","trump,russia",battletested5
125,,RT @IntPicks : Early release of Thursday picks ! 3 MLB picks with 1 Home Run Pick ! 13-3 Record ! 1 Free . Instant access :,MLB,"fbi,carter page",['fbi'],fbi,llewis88
126,,The human problem at the heart of #Snapchat’s employee #databreach,,"fbi,carter page,clinton","['clinton', 'carter page', 'fbi']","fbi,carter page wtf,comey,clinton",montetjwitter11
127,,Hell yeh 1st day of vacation !!!!!,,"trump,carter page****","['fbi', 'carter page', 'adviser']","fisa,trump,carter page****",jerZboyUSA
128,,RT @miran_shemale : Don't forget to check out @christianxxx1 and my 1st hardcore set !!,,sam clovis,['sam clovis'],sam clovis.,ChristinLuvsSno
129,,RT @simamaung : 15 April 1994 kak :) https://t.co/iZSRsKly1w,,clinton,['clinton'],,kevinmartin823
130,TrumpRussia,There will be open gym tomorrow and monday and wednesday next week at 730 pm .,,"russian,trump",[],,GretchenVork
131,,@WashCoScanner ICYMI : DAMN ... CHILLING AUDIO : Marysville-Pilchuck High School Shooting …,Marysville-Pilchuck High School,carter page,[],carter page,michaelclark50
132,,So tired I may fall asleep on the boys bed during his bedtime tonight .,,,[],,NazDreaming
133,,"#Texans WRs moving on snap on their 1st qtr TD . Missed call . #Bills should get a "" sorry "" this week from league .","#Texans,#Bills",,[],,cthebones1
134,,12 Marketing Strategies Your Business Needs for a Successful Black Friday - Forbes via https://t.co/HB5v3MMYXM https://t.co/Rce16i0YYt,Black Friday,"trump,carter page,russia","['carter page', 'trump adviser', 'fbi']","fbi,trump,carter page,russia",LauraJSilverman
135,"racetowitsec, kremlinklan, putinspuppet",@Marco_P_Shite never eat out on a Monday #Shady,,,[],,coachcommnsense
136,,no condoms November,,"fbi,carter page,russia","['carter page', 'fbi', 'russia']","fbi,carter page,russia",Anti_DJTrump
137,,RT @david_t_cox_ : Line-up all confirmed for this year 's @Film4 Summer Screen at @SomersetHouse . Full programme details announced tomorrow .,,"putin puppet show,judy,carter page,janesville wi","['judy without', 'carter page']",janesville wi,Bulldawg2482
138,,"#52 Germany 3rd Reich cpl . "" Wehrmacht 1 set "" 831-842 MLH * WW2 nazitroops , stukas","Germany,3rd Reich,Wehrmacht,WW2","carter page,fbi,russia","['fbi', 'russia', 'carter page']","carter,fbi,fisa,russia",delvish
139,,A2 : I went to London in April and it wasn't too costly . I used @expedia to look for best hotel deals . #expediachat,London,,[],yawn,CharlieFGordon1
140,,"RT @Stratford_High : Graduation has been set !! The SHS CLASS OF 2015 will graduate on June 18th , 6:00 p.m. at Penders Field !","SHS,Penders Field",carter page,"['carter page', 'a judge']",,Conscience4
141,,"RT @Joe_America1776 : "" LOL ! John Kasich threatening 3rd party run for POTUS "" #PJNET #TCOT #WakeUpAmerica https://t.co/QXP3mpTtsq","John Kasich,POTUS",,[],,toyns
142,,RT @FreddyAmazin : Transformation Tuesday,,page,[],page,KPCCofframp
143,,BREACH ! CHINA HACKING DESPITE DEAL,CHINA,"maxine waters,russia","['maxine waters', 'russia']",maxine waters,aliasvaughn
144,,#Arkansas #State #Police say #Dense fog may have #Contributed to #Interstate 49 #Crash near #Texarkana ... https://t.co/qDTjOcC3v3,"#Arkansas #State #Police,#Interstate 49,#Texarkana","fbi,carter page,dt","['fisa warrant 2monitor trump policy adviser', 'probable cause dt aide', 'carter page', 'fbi']","fbi,fisa,trump,carter",Edwards20170125
145,,@SmoshyPadilla I'm not saying thanks . April Fools day is stilll herre,April Fools day,carter page,['carter page'],"lot,carter",JustCallMeEd
146,"inners, maddow, lastword, TrumpRussia, Russiagate",6th place today https://t.co/4ng4004mqd,,carter page,"['carter page', 'fbi']","fbi counterintelligence obtained fisa,carter page",deck449
147,,"Pretty sure allowing hackers to access your bank details etc amounts to a fundamental breach of contract , so contract not binding #talktalk",,"trump,flynn,carter page",['carter page'],"trump,flynn,carter page iirc.",PositiveInt
148,TrumpRussia,"We're getting all we can from the shooting that happened this morning at Marysville Pilchuck . Stay with us on @KIRORadio , @Mynorthwest",Marysville Pilchuck,"carter page,russian",['carter page'],carter page,JebBoosh
149,,Madi tossing out the 1st pitch at the @ValleyCats game . Followed up with a cartwheel and dance jump .,Madi,dem,"['dem', 'gop']",gop,tiwhitter
150,,Tomorrow https://t.co/a4Aa3TWpVi,,carter page,['carter page'],carter page,gs619usmc
151,,"Welp , another security breach for #DayZ and Arma 3 dev Bohemia Interactive pic.twitter.com/EndtZPlhWz","#DayZ,Arma 3,Bohemia Interactive",fisa,[],"comey,weiner",truth_trumpet
152,,President Pranab Mukherjee Gives Away Chakra Awards to Defence Personnel : President Pranab Mukherjee on Saturday conferred one Kirti ...,"President Pranab Mukherjee,Chakra Awards,President Pranab Mukherjee,Kirti",fbi,"['fbi', 'tangled web', 'intel']","intel,fbi",notherringfarts
153,AllColluded,Anonymous said : i'm a 1st year &amp; my program only has 1 first year course comn 1000 which I found difficult ...,,"carter page,russian","['trump & co.', 'fbi']","carter page,trump &amp; co.,fbi",Aneetchkoo
154,Fiverr,#news Vikings tackle among nine injured after shooting inside Minneapolis nightclub : Linval Joseph gets shot i ...,"Vikings,Minneapolis,Linval Joseph",sean spicer carter,[],sean spicer carter page,newton_engineer
155,,linda https://t.co/c8x4AFXenZ,linda,carter page,['carter page'],carter page,TespGames
156,,RT @happilysusie : Can zayn just say it was a joke happy early April fools please,"zayn,April fools","carter page,atty general",['acting atty general'],,MichaelCastner
157,funder,Waking up at 4am for a day trip to Chicago tomorrow #PartyHardy #SleepierHardier,Chicago,"fbi,trump,carter page","['adviser', 'fbi', 'carter page']","fbi,fisa,trump",susan_dover
158,,"Aha 1160465 November 24 , 2015 at 06:22 AM",,,[],,ekcj1234
159,,@Drexciya_ c mon enfance MULAN esh,,"good lord,carter page",['carter page'],trump,GirlOnFireSally
160,trumprussia,You may be full of revolutionary ideas today but still have a ... More for Taurus,Taurus,carter,['fbi'],carter,lsfarmer311
161,,"RT @1DUSAUpdate : #HQ || Louis onstage during the tour opener in San Diego tonight #1 - July 9 , 2015","Louis,San Diego","office,carter page",[],,Itsafairday
162,"Trumprussia, TrumpRussiaCollusion, russiagate",RT @FlaStudentSect : The 2nd half is when the Bulldogs cheer team pulled out the high flying stunts !,Bulldogs,chris hayes,['chris hayes'],chris hayes,RWTrollPatrol
163,,@rspear2122 @i_am_benwood that you're not the cleanest person . June still probably cleans up all your shit at home lol,June,"carter page,sarcasm,dems",['the carter page fisa news'],,TheLabeler5000
164,TrumpRussia,Wishing everyone a most Wonderful Wednesday ! Happy Mid-Week :D ~ BirCraft gear motors - linear actuators - ...,BirCraft,"election day,hillary clinton,carter page","['hillary clinton', 'fbi', 'carter page']","fbi,hillary clinton. carter page",PunchTrumpUS
165,,@BreannaYahh https://t.co/fTRVcdlXvQ,,white house,[],white house,PamBattistella
166,,Providence Hospital : Still establishing identity of victims . Had 3 neurosurgeons at hospital ready to treat patients . #MarysvilleShooting,Providence Hospital,"fbi,trump,carter page","['adviser', 'fbi', 'carter page']","fbi,fisa,trump",PunchTrumpUS
167,Russian,@PhinsFans everything sound good until they get on the field I'm not getting excited about the changes until I actually see them play Sunday,,"carter page,fbi","['adviser', 'fbi', 'carter page']","carter,fbi",livechannelfeed
168,,RT @hect2r : Win over $1099 in Vape Prizes from @VapingCheap - #ecig #Vape,,,[],,IamConiglio
169,trumpRussia,4th and 2 from the 3 . #iahsfb,,,[],,Ban_Pres_Bannon
170,,RT @MikeFulbreezy : Friday,,"carter page,flynn,trump",['carter page'],carter,KeithOlbermann
