,2nd Iteration Candidates,TweetSentence,annotation,calai_candidates,entry_batch,hashtags,index,phase1Candidates,ritter_candidates,sentID,stanford_candidates,start_time,tweetID,user
22,,@DavidCornDC Wash Post breaking ... FISA warrant was issued for Carter Page by FBI,[],"['carter page', 'fbi']",0.0,nan,,Wash Post::*1*2*||FISA::*4*||Carter Page by FBI::*9*10*11*12*||,"['carter page', 'fbi']",0,"['@davidcorndc wash post', 'fbi']",2018-02-20 22:54:51.209432,388,KarenBlumentha1
23,,@bedtsvesta @porfie_moreno @ThereseOSulliv2 @bluewater77036 @MarciTriggs @TheStandingTire @4TheJerseyKid…,[],[],0.0,nan,,,[],0,[],2018-02-20 22:54:51.210341,2406,TheFunEndsNow
24,,How can us as humans stand by and watch this orange alien destroy our country wow sad day america,['america'],[],0.0,AHCA,,,[],0,[],2018-02-20 22:54:51.210640,660,oneworrell
25,,"You're a special kind of ""stupid"" aren't you.",[],[],0.0,nan,,,[],0,[],2018-02-20 22:54:51.211260,630,janis11121948
26,,Disappointed with CA republicans for towing the line and following blindly.,['ca'],[],0.0,nan,,Disappointed with CA::*0*1*2*||,['ca'],0,[],2018-02-20 22:54:51.211677,603,erichwithach
27,,Thought you were better than that.,[],[],0.0,nan,,,['ca'],1,[],2018-02-20 22:54:51.211677,603,erichwithach
28,,At least you don't need this  voting guide this year.,[],[],0.0,Eurovision,,,[],0,[],2018-02-20 22:54:51.212500,1449,passthedolma
29,,Or do you....?,[],[],0.0,Eurovision,,,[],1,[],2018-02-20 22:54:51.212500,1449,passthedolma
30,,carter page you dumbass.,['carter page'],"['carter page', 'carter page']",0.0,nan,,nan,"['carter page', 'carter', 'carter page']",0,[],2018-02-20 22:54:51.213134,34,LydiaBurrell
31,,c'mon carter.,['carter'],"['carter page', 'carter page']",0.0,nan,,nan,"['carter page', 'carter', 'carter page']",1,[],2018-02-20 22:54:51.213134,34,LydiaBurrell
32,,get a clue carter page,['carter page'],"['carter page', 'carter page']",0.0,nan,,nan,"['carter page', 'carter', 'carter page']",2,[],2018-02-20 22:54:51.213134,34,LydiaBurrell
33,,"Carter Page, Former Trump Adviser, Monitored Last Summer By FBI Over  Contacts","['carter page', 'trump', 'fbi']","['adviser', 'fbi', 'carter page']",0.0,Russian,,nan,"['carter page', 'fbi']",0,"['carter', 'fbi']",2018-02-20 22:54:51.213397,167,livechannelfeed
34,,@MileyCyrus performing,[],[],0.0,"Malibu, WangoTango",,,[],0,[],2018-02-20 22:54:51.213792,1672,FabiolaRomn5
35,,@funder Didn't Jeff Sessions recommend Carter Page for the Trump campaign/administration?,"['jeff sessions', 'carter page', 'trump']",['carter page'],0.0,nan,,Jeff Sessions::*2*3*||Carter Page::*5*6*||Trump::*9*||,"['jeff sessions', 'carter page']",0,"['jeff sessions', 'trump']",2018-02-20 22:54:51.214062,296,SandraPitts14
36,,Welp.,[],[],0.0,ufc211,,nan,"['maia', 'linkin park']",0,['linkin'],2018-02-20 22:54:51.214886,2654,MrIzdik
37,,I was cheering for Maia tonight.,['maia'],[],0.0,ufc211,,Maia::*4*||,"['maia', 'linkin park']",1,['linkin'],2018-02-20 22:54:51.214886,2654,MrIzdik
38,,Then he had to walk out to Linkin Park.,['linkin park'],[],0.0,ufc211,,Linkin Park::*7*8*||,"['maia', 'linkin park']",2,['linkin'],2018-02-20 22:54:51.214886,2654,MrIzdik
39,,Yeah I don't know if I can do that now,[],[],0.0,ufc211,,nan,"['maia', 'linkin park']",3,['linkin'],2018-02-20 22:54:51.214886,2654,MrIzdik
40,,OH.,[],['oh'],0.0,Eurovision,,nan,[],0,[],2018-02-20 22:54:51.216021,1243,gatoconuggs
41,,MY.,[],['oh'],0.0,Eurovision,,nan,[],1,[],2018-02-20 22:54:51.216021,1243,gatoconuggs
42,,GOD,[],['oh'],0.0,Eurovision,,nan,[],2,[],2018-02-20 22:54:51.216021,1243,gatoconuggs
43,,Mike Dean  Liberty University  Stoke  Greyson Chance Collabs With,"['mike dean', 'libery university', 'stoke greyson', 'collabs']","['mike dean', 'liberty university']",0.0,"Eurovision, paparazzi, Timeless, CurseTheToryParty",,nan,['mike dean liberty university stoke'],0,['mike dean liberty university stoke greyson chance collabs'],2018-02-20 22:54:51.216272,1533,vip_scandals
44,,": House Republicans have narrowly passed a bill to repeal and replace Obamacare, in a major victory for @realDonaldTrump","['house republicans', 'obamacare']",[],0.0,BREAKING,,House Republicans::*1*2*||Obamacare::*12*||,[],0,['house'],2018-02-20 22:54:51.216616,869,carolinemarcus
45,,"Another 1 for the Books, shout to Amanda she makes our Team Pop!",['amanda'],[],0.0,WangoTango,,Books::*4*||Amanda::*7*||Team Pop::*11*12*||,['amanda'],0,['amanda'],2018-02-20 22:54:51.217456,1619,BIGCHUNK
46,,Camila is going on soon!,[],['instagram'],0.0,WangoTango,,,['camila'],0,['camila'],2018-02-20 22:54:51.218295,1983,JhorellyM
47,,We're live on Instagram (@901Music).,[],['instagram'],0.0,WangoTango,,Instagram::*3*||,['camila'],1,['camila'],2018-02-20 22:54:51.218295,1983,JhorellyM
48,,Follow along there!,[],['instagram'],0.0,WangoTango,,,['camila'],2,['camila'],2018-02-20 22:54:51.218295,1983,JhorellyM
49,,| @iHeartRadio,[],['instagram'],0.0,WangoTango,,,['camila'],3,['camila'],2018-02-20 22:54:51.218295,1983,JhorellyM
50,,"Chris Pratt and Jimmy Fallon Sing ""Nonsense Karaoke"" ,,,","['chris pratt', 'jimmy fallon', 'nonsense karaoke']","['jimmy fallon', 'chris pratt']",0.0,"Amazing, funny, WangoTango, UFC211",,Chris Pratt::*0*1*||Jimmy Fallon Sing::*3*4*5*||Nonsense Karaoke::*6*7*||,"['chris pratt', 'jimmy fallon sing', 'nonsense karaoke']",0,"['chris pratt', 'jimmy fallon']",2018-02-20 22:54:51.219226,1996,neilfisher235
51,,FUCK THEM,[],[],0.0,nan,,nan,[],0,[],2018-02-20 22:54:51.219999,586,Jefflez
52,,YOU WERE'NT KANGZ!,[],[],0.0,WhitePeople,,nan,[],0,[],2018-02-20 22:54:51.220180,2212,JDVandersnoot
53,,on the other hand...,[],[],0.0,WhitePeople,,,[],1,[],2018-02-20 22:54:51.220180,2212,JDVandersnoot
54,,What this toddler did to save his trapped twin brother will shock you!,[],[],0.0,"twins, twinbrother, WangoTango, UFC211",,,[],0,[],2018-02-20 22:54:51.220574,1660,robertparr1682
55,,",,,",[],[],0.0,"twins, twinbrother, WangoTango, UFC211",,,[],1,[],2018-02-20 22:54:51.220574,1660,robertparr1682
56,,YUDELEDI-SHUT-THE-HELL-UP,[],[],0.0,"Eurovision, ROU",,nan,[],0,[],2018-02-20 22:54:51.221145,1056,mattismylife97
57,,Camila no Instagram story da @Chelsea_Briggs,"['camila', 'instagram']",['instagram'],0.0,WangoTango,,Instagram::*2*||,[],0,['camila'],2018-02-20 22:54:51.221328,1656,screammila
58,,I assume you are making this Sessions Page connection too.,"['sessions', 'page']",[],0.0,nan,,Sessions Page::*6*7*||,['sessions page'],0,[],2018-02-20 22:54:51.221768,478,MontyBoa99
59,,@FBIWFO @FBI,[],[],0.0,nan,,,['sessions page'],1,[],2018-02-20 22:54:51.221768,478,MontyBoa99
60,,OHNYGOD,[],[],0.0,nan,,nan,[],0,[],2018-02-20 22:54:51.222697,1935,niallxkyungsoo
61,,"Jorge Masvidal out to ""Scarface (Remix)"" by Ariel G from the ""Scarface"" OST.","['jorge masvidal', 'scarface', 'ariel g', 'scarface']","['jorge masvidal', 'demian maia']",0.0,UFC211,,nan,"['jorge masvidal', 'scarface', 'ariel', 'scarface', 'ost', 'demian maia', 'numb', 'linkin park']",0,"['jorge masvidal', 'ariel g', 'demian maia', 'linkin park']",2018-02-20 22:54:51.222885,3017,DamonMartin
62,,"Demian Maia to ""Numb"" by Linkin Park","['demian maia', 'numb', 'linkin park']","['jorge masvidal', 'demian maia']",0.0,UFC211,,nan,"['jorge masvidal', 'scarface', 'ariel', 'scarface', 'ost', 'demian maia', 'numb', 'linkin park']",1,"['jorge masvidal', 'ariel g', 'demian maia', 'linkin park']",2018-02-20 22:54:51.222885,3017,DamonMartin
63,,Live on the Yellow Carpet at  with @alexonthemic and the @backstreetboys,[],[],0.0,WangoTango,,Live on the Yellow Carpet::*0*1*2*3*4*||,['the yellow carpet'],0,[],2018-02-20 22:54:51.223420,1655,AngieGodoyBSB
64,,i hope so,[],[],0.0,nan,,nan,[],0,[],2018-02-20 22:54:51.224203,1738,niallsoberano
65,,Check this out!,[],[],0.0,Fiverr,,nan,['sean spicer carter'],0,['sean spicer carter page'],2018-02-20 22:54:51.224470,154,newton_engineer
66,,I will do computer networking and IT security on   Sean Spicer Carter Page,"['sean spicer', 'carter page']",[],0.0,Fiverr,,Sean Spicer Carter Page::*9*10*11*12*||,['sean spicer carter'],1,['sean spicer carter page'],2018-02-20 22:54:51.224470,154,newton_engineer
67,,"Yo democrats, I'm with ya and all but in the mean time , people are gonna die.",['democrats'],[],0.0,nan,,,[],0,[],2018-02-20 22:54:51.225653,668,AaronTiberius
68,,This isn't a sporting event ya assclowns.,[],[],0.0,nan,,,[],1,[],2018-02-20 22:54:51.225653,668,AaronTiberius
69,,Let's hope so....,[],[],0.0,nan,,,[],0,[],2018-02-20 22:54:51.226518,842,Nycd16Indivis
70,,"We're dying, but that's okay, this is symbolic for how @MoveOn and @TheDemocrats want  to die anyway.",[],[],0.0,WhitePeople,,,[],0,[],2018-02-20 22:54:51.226859,2551,HomeboyDagga
71,,FBI had reason to believe during 2016 presidential campaign that Trump team included Russian agent or agents.,"['fbi', '2016 presidential campaign', 'trump', 'russian']",['fbi'],0.0,nan,,Trump::*10*||Russian::*13*||,"['fbi', 'trump']",0,"['fbi', 'trump']",2018-02-20 22:54:51.227467,276,4free_Ukraine
72,,Some badass walk out music going on tonight @ufc,[],[],0.0,UFC211,,,[],0,[],2018-02-20 22:54:51.228284,3042,MistaMJL
73,,"""Thaaat's Right""...""You Know It's True""...",[],['the left'],0.0,nan,,nan,[],0,[],2018-02-20 22:54:51.228727,2435,Saddlebags6969
74,,"Wake Up Sheeple &amp; Stop Drinking The Left's ""Fool-Aid"" !!",[],['the left'],0.0,nan,,Sheeple::*2*||Stop Drinking The Left's::*4*5*6*7*||Fool-Aid::*8*||,[],1,[],2018-02-20 22:54:51.228727,2435,Saddlebags6969
75,,"@Dean0909 says, ""I think we really are getting a cold shoulder from Europe tonight.""",['europe'],['europe'],0.0,"Eurovision2017, Eurovision",,Europe::*12*||,['europe'],0,['europe'],2018-02-20 22:54:51.229805,1519,Dean0909
76,,"Clumsy Baby Elephant ,,,",[],[],0.0,"Funnyanimal, funnyelephant, WangoTango, UFC211",,Clumsy Baby Elephant::*0*1*2*||,[],0,[],2018-02-20 22:54:51.230486,1984,stephenblake451
77,,"I know Maia is a monster on the ground, he's Royce 2.0.","['maia', 'royce']",[],0.0,UFC211,,Maia::*2*||Royce 2.0::*10*11*||,"['maia', 'royce']",0,['maia'],2018-02-20 22:54:51.230931,2899,_jordancamacho_
78,,I know he's like wrestling a wet blanket.,[],[],0.0,UFC211,,,"['maia', 'royce']",1,['maia'],2018-02-20 22:54:51.230931,2899,_jordancamacho_
79,,But I'm picking @GamebredFighter,[],[],0.0,UFC211,,,"['maia', 'royce']",2,['maia'],2018-02-20 22:54:51.230931,2899,_jordancamacho_
80,,is not only cruel and callous.,[],[],0.0,TrumpCare,,,[],0,[],2018-02-20 22:54:51.232079,816,djlavoie
81,,It's also unconstitutional.,[],[],0.0,TrumpCare,,,[],1,[],2018-02-20 22:54:51.232079,816,djlavoie
82,,And @AGSchneiderman is on it.,[],[],0.0,TrumpCare,,,[],2,[],2018-02-20 22:54:51.232079,816,djlavoie
83,,if they wanted phil and i to host they could have just asked there's no need to hijack our style,['phil'],[],0.0,Eurovision,,nan,[],0,[],2018-02-20 22:54:51.232726,1320,itsbailey15
84,,House Republicans did their job and the left can't take it.,['house republicans'],[],0.0,"Obamacare, AHCA",,House Republicans::*0*1*||,['house republicans'],0,['house'],2018-02-20 22:54:51.232915,621,BooBooNyc
85,,"Sorry losing isn't fun, not that I know what that feels like.",[],[],0.0,"Obamacare, AHCA",,,['house republicans'],1,['house'],2018-02-20 22:54:51.232915,621,BooBooNyc
86,,Girl...what's happening in this tag,[],[],0.0,WhitePeople,,,[],0,[],2018-02-20 22:54:51.233871,2150,sailor_misty
87,,Over 600k Rep died to stop it.,[],[],0.0,nan,,600k Rep::*1*2*||,[],0,[],2018-02-20 22:54:51.234260,2207,BESTHSA
88,,We have nothing 2 do / it.,[],[],0.0,nan,,,[],1,[],2018-02-20 22:54:51.234260,2207,BESTHSA
89,,Democrats have brainwashed people they think we're stupid.,['democrats'],[],0.0,nan,,,[],2,[],2018-02-20 22:54:51.234260,2207,BESTHSA
90,,You don't understand.,[],[],0.0,WANGOTANGO,,,[],0,[],2018-02-20 22:54:51.235277,1944,punsNpuppies
91,,@maroon5 is just heart eyes motherfucker.,[],[],0.0,WANGOTANGO,,,[],1,[],2018-02-20 22:54:51.235277,1944,punsNpuppies
92,,Racist   are the problem and that's why the sane white people arent offended by this hashtag,[],[],0.0,WhitePeople,,,[],0,[],2018-02-20 22:54:51.235741,2223,Slade201192
93,,"White ppl love using MLK as some kind of example of ""the good blacks""ism.",['mlk'],[],0.0,nan,,MLK::*4*||,[],0,[],2018-02-20 22:54:51.236316,2113,BlackNerdJade
94,,Especially since he can't speak for himself.,[],[],0.0,nan,,,[],1,[],2018-02-20 22:54:51.236316,2113,BlackNerdJade
95,,Assassinated &amp; all.,[],[],0.0,nan,,,[],2,[],2018-02-20 22:54:51.236316,2113,BlackNerdJade
96,,best people,[],[],0.0,whitepeople,,nan,[],0,[],2018-02-20 22:54:51.237413,2296,DaimonLord
97,,"i miss justin's performance back in 2015 :,(",['justin'],[],0.0,WangoTango,,nan,['justin'],0,[],2018-02-20 22:54:51.237595,1805,bizzlesthrone
98,,"As per usual, sore losers try to place the race card.",[],[],0.0,nan,,,[],0,[],2018-02-20 22:54:51.237774,925,jbsrq
99,,in  @blanchemusicbe From    @Eurovision @EurovisionMex…,[],[],0.0,"Belgium, Eurovision, Mexico, CelebrateDiversity, DouzePoints",,,[],0,[],2018-02-20 22:54:51.238209,1540,EurovisionMex
100,,This  crap is the worst prologue to a season of Leverage ever.,[],[],0.0,AHCA,,Leverage::*10*||,[],0,[],2018-02-20 22:54:51.238533,956,Wiswell
101,,Live community chat  Maia vs Masvidal on the Sherdog Forums!!!,"['maia', 'masvidal', 'sherdog forums']",[],0.0,UFC211,,Maia::*3*||Masvidal on the Sherdog Forums::*5*6*7*8*9*||,['maia'],0,"['maia', 'masvidal']",2018-02-20 22:54:51.239145,2768,SherdogDrake
102,,@sherdogdotcom…,[],[],0.0,UFC211,,,['maia'],1,"['maia', 'masvidal']",2018-02-20 22:54:51.239145,2768,SherdogDrake
103,,THIS ≡ƒæç≡ƒÅ╜IS BIG!!,[],[],0.0,nan,,BIG::*2*||,[],0,['comey'],2018-02-20 22:54:51.239976,363,DorH84607784
104,,Is anyone SURPRISED?,[],[],0.0,nan,,nan,[],1,['comey'],2018-02-20 22:54:51.239976,363,DorH84607784
105,,IT IS PAST TIME FOR COMEY TO STEP DOWN...THEN THROW THE CUFFS ON HIM!,['comey'],[],0.0,nan,,nan,[],2,['comey'],2018-02-20 22:54:51.239976,363,DorH84607784
106,,Brasil loves LinkinPark.,"['brasil', 'linkin park']",['brasil'],0.0,"UFC211, MMA",,LinkinPark::*2*||,[],0,['brasil'],2018-02-20 22:54:51.240793,3064,McDuckMMA
107,,is the worst tag I've ever seen.,[],[],0.0,WhitePeople,,,['flint'],0,['flint'],2018-02-20 22:54:51.241239,2353,_Farron13
108,,There is so many other things to be fighting about.,[],[],0.0,WhitePeople,,,['flint'],1,['flint'],2018-02-20 22:54:51.241239,2353,_Farron13
109,,Like why does Flint still have no water.,['flint'],[],0.0,WhitePeople,,Flint::*3*||,['flint'],2,['flint'],2018-02-20 22:54:51.241239,2353,_Farron13
110,,Hope @demianmaia gives @GamebredFighter some humble pie,[],[],0.0,UFC211,,,[],0,[],2018-02-20 22:54:51.242203,2788,Toby98
111,,The GOP health bill will take away rehabilitative care.,['gop'],['gop'],0.0,nan,,GOP::*1*||,[],0,['gop'],2018-02-20 22:54:51.242565,887,mrshellwinger
112,,@RepJimRenacci it's time We're supporting your opponent.,[],['gop'],0.0,nan,,,[],1,['gop'],2018-02-20 22:54:51.242565,887,mrshellwinger
113,,I love  &amp; I'm sick of all the hate that's spewed at them from racist minorities &amp; liberals who suffer f…,[],[],0.0,WhitePeople,,,[],0,[],2018-02-20 22:54:51.243351,2114,ladihawke65
114,,Mike Dean  Liberty University  Stoke  Do Joe Jonas &amp; Sophie Turner,"['mike dean', 'libery university', 'stoke', 'do joe jonas', 'sophie turner']","['mike dean', 'sophie turner', 'joe jonas', 'liberty university']",0.0,"Eurovision, paparazzi, Timeless, CurseTheToryParty",,Mike Dean Liberty University Stoke::*0*1*2*3*4*||Joe Jonas::*6*7*||Sophie Turner::*9*10*||,"['mike dean liberty university stoke', 'joe jonas', 'sophie turner']",0,['joe jonas &amp; sophie turner'],2018-02-20 22:54:51.244034,1534,vip_scandals
115,,I dig  but what about  like Don da Con &amp; MAKE ASSHOLES GREAT AGAIN,['don'],[],0.0,"WhitePeople, OrangePeople, MAGA",,Don::*6*||Con::*8*||ASSHOLES GREAT::*11*12*||,['don'],0,['don'],2018-02-20 22:54:51.244865,2499,LubnaArikat
116,,FBI obtained FISA warrant to monitor former Trump adviser Carter Page  /via... by  via @c0nvey,"['fbi', 'fisa', 'trump', 'carter page']","['adviser', 'fbi', 'carter page']",0.0,Alyssa_Milano,,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,"['fbi', 'trump', 'carter page']",0,"['fbi', 'fisa', 'trump']",2018-02-20 22:54:51.245716,510,emperadordragon
117,,"Can someone tell me why  is trending, I'm so confused",[],[],0.0,WhitePeople,,,[],0,[],2018-02-20 22:54:51.246636,2471,eduard01_c
118,,CUTIE AT,[],[],0.0,WangoTango,,nan,[],0,['cutie'],2018-02-20 22:54:51.247065,1602,shitissheeran
119,,Congratulations to Joe Silva on being inducted into the HOF this year.,"['joe silva', 'hof']",['joe silva'],0.0,"UFC211, HOF",,Joe Silva::*2*3*||HOF::*9*||,"['joe silva', 'hof']",0,['joe silva'],2018-02-20 22:54:51.247245,2849,joshflowers1
120,,don't worry guys we could still win the electoral college,['electoral college'],[],0.0,EUROVISION,,nan,[],0,[],2018-02-20 22:54:51.247945,1403,Matt_SpaceOtaku
121,,LETTTSSSS GOOOOOO,[],[],0.0,UFC211,,nan,[],0,['letttssss goooooo'],2018-02-20 22:54:51.248131,2567,brycetriathlete
122,,Female.,[],[],0.0,"IAmAPreexistingCondition, AHCA",,nan,[],0,[],2018-02-20 22:54:51.248305,736,Claire_Sentient
123,,Disabled from being the meat in 3-car sandwich.,[],[],0.0,"IAmAPreexistingCondition, AHCA",,3-car::*6*||,[],1,[],2018-02-20 22:54:51.248305,736,Claire_Sentient
124,,Anxiety.,[],[],0.0,"IAmAPreexistingCondition, AHCA",,nan,[],2,[],2018-02-20 22:54:51.248305,736,Claire_Sentient
125,,Depression.,[],[],0.0,"IAmAPreexistingCondition, AHCA",,nan,[],3,[],2018-02-20 22:54:51.248305,736,Claire_Sentient
126,,Asthma.,['asthma'],[],0.0,"IAmAPreexistingCondition, AHCA",,nan,[],4,[],2018-02-20 22:54:51.248305,736,Claire_Sentient
127,,Rosacea.,['risacea'],[],0.0,"IAmAPreexistingCondition, AHCA",,nan,[],5,[],2018-02-20 22:54:51.248305,736,Claire_Sentient
128,,IBS.,['ibs'],[],0.0,"IAmAPreexistingCondition, AHCA",,nan,[],6,[],2018-02-20 22:54:51.248305,736,Claire_Sentient
129,,NCAH.,['ncah'],[],0.0,"IAmAPreexistingCondition, AHCA",,nan,[],7,[],2018-02-20 22:54:51.248305,736,Claire_Sentient
130,,Yair will be the champ one day.,['yair'],[],0.0,nan,,,"['yair', 'frankie']",0,"['yair', 'frankie']",2018-02-20 22:54:51.249353,2619,ratchetm0ran
131,,Out of ALL the 45ers in the world Frankie is his worst match up.,['frankie'],[],0.0,nan,,45ers::*4*||Frankie::*8*||,"['yair', 'frankie']",1,"['yair', 'frankie']",2018-02-20 22:54:51.249353,2619,ratchetm0ran
132,,Mishandling of a l…,[],[],0.0,nan,,,"['yair', 'frankie']",2,"['yair', 'frankie']",2018-02-20 22:54:51.249353,2619,ratchetm0ran
133,,Camila and @machinegunkelly performing Bad Things on @ashlee_juno's Instagram story,[],['instagram'],0.0,WangoTango,,Bad Things::*4*5*||Instagram::*8*||,[],0,['camila'],2018-02-20 22:54:51.250536,1579,LalYazareth
134,,Maia has single leg of doom.,['maia'],[],0.0,"UFC211, UFC, MMA",,,['maia'],0,"['maia', 'masvidal']",2018-02-20 22:54:51.251199,2626,AcostaIsLegend
135,,Only been hit 14 times in last FOUR fights.,[''],[],0.0,"UFC211, UFC, MMA",,FOUR::*7*||,['maia'],1,"['maia', 'masvidal']",2018-02-20 22:54:51.251199,2626,AcostaIsLegend
136,,Masvidal has nearly 80% takedown defense.,['masvidal'],[],0.0,"UFC211, UFC, MMA",,,['maia'],2,"['maia', 'masvidal']",2018-02-20 22:54:51.251199,2626,AcostaIsLegend
137,,Jail time,[],[],0.0,nan,,,[],0,[],2018-02-20 22:54:51.252252,132,NazDreaming
138,,"if you had carter page on your ""fisa warrant bingo"" card, please step up and collect your winnings","['carter page', 'fisa']",['carter page'],0.0,nan,,nan,['carter page'],0,[],2018-02-20 22:54:51.252529,298,mgerrydoyle
139,,Top News: FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['washington post', 'fbi', 'washington post', 'adviser', 'carter page']",0.0,nan,,Top News::*0*1*||FBI::*2*||FISA::*4*||Trump::*9*||Carter Page::*11*12*||Washington Post::*14*15*||,"['fbi', 'trump', 'carter page', 'washington post']",0,"['fbi', 'fisa', 'trump', 'carter page - washington post']",2018-02-20 22:54:51.252722,313,FlabinAlert
140,,Who else wants a private serenade from @NiallOfficial?!!??,[],[],0.0,WangoTango,,,[],0,[],2018-02-20 22:54:51.253954,2004,aliensnaspceshp
141,,"I got Masvidal, but don't feel confident at all about it.",['masvidal'],[],0.0,UFC211,,Masvidal::*2*||,['maia'],0,['maia'],2018-02-20 22:54:51.254389,2755,blakjordanbreen
142,,Maia is such a beast.,['maia'],[],0.0,UFC211,,,['maia'],1,['maia'],2018-02-20 22:54:51.254389,2755,blakjordanbreen
143,,Here's my breakdown,[],[],0.0,UFC211,,,['maia'],2,['maia'],2018-02-20 22:54:51.254389,2755,blakjordanbreen
144,,RT Dmoceanu: 👊🏻 Always fights with his heart!,[],['rt'],0.0,Dominant,,Dmoceanu::*1*||,[],0,[],2018-02-20 22:54:51.255308,2742,GetPaidinBlood
145,,"""Mary, Mary, quite contrary,",['mary'],[],0.0,nan,,Mary::*1*||,"['mary', 'mary']",0,[],2018-02-20 22:54:51.255864,2521,SMCADMAN
146,,How does your garden grow?,[],[],0.0,nan,,,"['mary', 'mary']",1,[],2018-02-20 22:54:51.255864,2521,SMCADMAN
147,,"With silver bells, and cockle shells,",[],[],0.0,nan,,,"['mary', 'mary']",2,[],2018-02-20 22:54:51.255864,2521,SMCADMAN
148,,"And pretty maids all in a row...""",[],[],0.0,nan,,,"['mary', 'mary']",3,[],2018-02-20 22:54:51.255864,2521,SMCADMAN
