candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,class,,cap-norm,Substring-cap-norm,S-o-sCap-norm,all-cap-norm,non-cap-norm,Non-discriminative-norm
need,3,1,6,0,6,6,265,10,293,0,,0.0204778157,0,0.0204778157,0.0204778157,0.9044368601,0.0341296928
family,5,1,12,0,9,3,248,19,291,0,,0.0412371134,0,0.0309278351,0.0103092784,0.852233677,0.0652920962
worse,2,1,8,0,7,3,257,13,288,0,,0.0277777778,0,0.0243055556,0.0104166667,0.8923611111,0.0451388889
read,0,1,13,0,40,2,214,18,287,0,,0.0452961672,0,0.1393728223,0.0069686411,0.7456445993,0.06271777
want,3,1,2,0,5,3,255,17,282,0,,0.0070921986,0,0.0177304965,0.0106382979,0.9042553191,0.0602836879
week,1,1,7,0,2,2,263,5,279,0,,0.0250896057,0,0.0071684588,0.0071684588,0.9426523297,0.017921147
great,0,1,16,0,48,7,178,27,276,0,,0.0579710145,0,0.1739130435,0.0253623188,0.6449275362,0.097826087
media,0,1,18,0,22,0,209,22,271,0,,0.0664206642,0,0.0811808118,0,0.7712177122,0.0811808118
world,0,1,19,0,10,5,223,14,271,0,,0.0701107011,0,0.036900369,0.0184501845,0.8228782288,0.0516605166
sure,1,1,15,0,7,4,225,13,264,0,,0.0568181818,0,0.0265151515,0.0151515152,0.8522727273,0.0492424242
true,0,1,5,0,16,3,221,17,262,0,,0.0190839695,0,0.0610687023,0.0114503817,0.8435114504,0.0648854962
may,0,1,18,0,7,1,189,38,253,0,,0.0711462451,0,0.0276679842,0.0039525692,0.7470355731,0.1501976285
tweet,0,1,16,0,13,2,199,21,251,0,,0.0637450199,0,0.0517928287,0.0079681275,0.7928286853,0.0836653386
made,3,1,3,0,1,3,225,11,243,0,,0.012345679,0,0.0041152263,0.012345679,0.9259259259,0.0452674897
show,0,1,12,0,19,3,192,16,242,0,,0.0495867769,0,0.0785123967,0.0123966942,0.7933884298,0.0661157025
influenced,6,1,30,0,1,0,194,15,240,0,,0.125,0,0.0041666667,0,0.8083333333,0.0625
next,1,1,15,0,24,1,189,6,235,0,,0.0638297872,0,0.1021276596,0.0042553191,0.8042553191,0.0255319149
father,6,1,14,0,1,1,212,5,233,0,,0.0600858369,0,0.0042918455,0.0042918455,0.9098712446,0.0214592275
thought,1,1,4,0,5,4,215,5,233,0,,0.017167382,0,0.0214592275,0.017167382,0.9227467811,0.0214592275
dad,0,1,48,0,9,2,144,29,232,0,,0.2068965517,0,0.0387931034,0.0086206897,0.6206896552,0.125
story,0,1,3,0,0,1,221,6,231,0,,0.012987013,0,0,0.0043290043,0.9567099567,0.025974026
saying,2,1,7,0,2,0,216,5,230,0,,0.0304347826,0,0.0086956522,0,0.9391304348,0.0217391304
tell,1,1,5,0,19,0,194,10,228,0,,0.0219298246,0,0.0833333333,0,0.850877193,0.0438596491
press,0,1,14,0,8,1,194,10,227,0,,0.0616740088,0,0.0352422907,0.0044052863,0.8546255507,0.0440528634
words,2,1,2,0,16,2,199,6,225,0,,0.0088888889,0,0.0711111111,0.0088888889,0.8844444444,0.0266666667
away,0,1,4,0,0,4,201,15,224,0,,0.0178571429,0,0,0.0178571429,0.8973214286,0.0669642857
love,0,1,7,0,27,4,165,20,223,0,,0.0313901345,0,0.1210762332,0.0179372197,0.7399103139,0.0896860987
come,0,1,6,0,26,2,175,13,222,0,,0.027027027,0,0.1171171171,0.009009009,0.7882882883,0.0585585586
last,0,1,3,0,16,3,180,18,220,0,,0.0136363636,0,0.0727272727,0.0136363636,0.8181818182,0.0818181818
truth,0,1,9,0,10,11,170,18,218,0,,0.0412844037,0,0.0458715596,0.0504587156,0.7798165138,0.0825688073
wait,1,1,7,0,52,4,127,26,216,0,,0.0324074074,0,0.2407407407,0.0185185185,0.587962963,0.1203703704
best,2,1,8,0,17,2,173,14,214,0,,0.0373831776,0,0.0794392523,0.0093457944,0.808411215,0.0654205607
seanspicer,3,1,10,0,12,0,185,6,213,0,,0.0469483568,0,0.0563380282,0,0.8685446009,0.0281690141
guess,0,1,5,0,31,0,174,3,213,0,,0.0234741784,0,0.1455399061,0,0.8169014085,0.014084507
hell,0,1,13,0,12,11,160,15,211,0,,0.0616113744,0,0.0568720379,0.0521327014,0.7582938389,0.0710900474
give,1,1,4,0,27,1,166,12,210,0,,0.019047619,0,0.1285714286,0.0047619048,0.7904761905,0.0571428571
probably,0,1,3,0,23,0,175,8,209,0,,0.014354067,0,0.1100478469,0,0.8373205742,0.038277512
attack,0,1,8,0,2,4,184,7,205,0,,0.0390243902,0,0.0097560976,0.0195121951,0.8975609756,0.0341463415
god,0,1,61,0,24,2,74,43,204,0,,0.2990196078,0,0.1176470588,0.0098039216,0.362745098,0.2107843137
watch,0,1,13,0,39,7,128,14,201,0,,0.0646766169,0,0.1940298507,0.0348258706,0.6368159204,0.0696517413
ignorance,0,1,3,0,16,1,169,12,201,0,,0.0149253731,0,0.07960199,0.0049751244,0.8407960199,0.0597014925
enough,1,1,3,0,12,4,169,12,200,0,,0.015,0,0.06,0.02,0.845,0.06
call,1,1,6,0,12,3,173,4,198,0,,0.0303030303,0,0.0606060606,0.0151515152,0.8737373737,0.0202020202
work,1,1,5,0,2,1,177,10,195,0,,0.0256410256,0,0.0102564103,0.0051282051,0.9076923077,0.0512820513
making,2,1,2,0,6,0,168,15,191,0,,0.0104712042,0,0.0314136126,0,0.8795811518,0.0785340314
life,1,1,5,0,7,5,161,13,191,0,,0.0261780105,0,0.0366492147,0.0261780105,0.8429319372,0.0680628272
moron,0,1,5,0,2,9,160,13,189,0,,0.0264550265,0,0.0105820106,0.0476190476,0.8465608466,0.0687830688
put,0,1,8,0,3,2,168,7,188,0,,0.0425531915,0,0.0159574468,0.0106382979,0.8936170213,0.0372340426
fact,1,1,1,0,3,5,166,12,187,0,,0.0053475936,0,0.0160427807,0.0267379679,0.8877005348,0.064171123
looks,0,1,9,0,37,1,138,2,187,0,,0.0481283422,0,0.1978609626,0.0053475936,0.7379679144,0.0106951872
year,0,1,7,0,0,1,166,12,186,0,,0.0376344086,0,0,0.0053763441,0.8924731183,0.064516129
pr,0,1,1,0,0,180,2,2,185,0,,0.0054054054,0,0,0.972972973,0.0108108108,0.0108108108
least,0,1,1,0,1,2,173,7,184,0,,0.0054347826,0,0.0054347826,0.0108695652,0.9402173913,0.0380434783
hope,0,1,5,0,19,3,149,7,183,0,,0.0273224044,0,0.1038251366,0.0163934426,0.8142076503,0.0382513661
head,0,1,9,0,0,3,157,12,181,0,,0.0497237569,0,0,0.0165745856,0.8674033149,0.0662983425
help,0,1,5,0,4,5,156,10,180,0,,0.0277777778,0,0.0222222222,0.0277777778,0.8666666667,0.0555555556
sad,0,1,5,0,22,7,95,50,179,0,,0.0279329609,0,0.1229050279,0.0391061453,0.530726257,0.2793296089
remember,0,1,7,0,60,3,103,6,179,0,,0.0391061453,0,0.3351955307,0.0167597765,0.5754189944,0.0335195531
might,0,1,7,0,12,0,158,2,179,0,,0.0391061453,0,0.0670391061,0,0.8826815642,0.0111731844
resign,1,1,6,0,8,10,140,13,177,0,,0.0338983051,0,0.0451977401,0.0564971751,0.790960452,0.0734463277
ass,0,1,4,0,0,7,150,15,176,0,,0.0227272727,0,0,0.0397727273,0.8522727273,0.0852272727
latest,0,1,9,0,6,1,158,1,175,0,,0.0514285714,0,0.0342857143,0.0057142857,0.9028571429,0.0057142857
chemical,1,1,10,0,3,1,153,7,174,0,,0.0574712644,0,0.0172413793,0.0057471264,0.8793103448,0.0402298851
wonder,0,1,3,0,33,0,134,2,172,0,,0.0174418605,0,0.1918604651,0,0.7790697674,0.011627907
hold,1,1,20,0,28,4,111,8,171,0,,0.1169590643,0,0.1637426901,0.0233918129,0.649122807,0.0467836257
told,0,1,0,0,3,1,160,7,171,0,,0,0,0.0175438596,0.0058479532,0.9356725146,0.0409356725
left,0,1,23,0,7,1,128,10,169,0,,0.1360946746,0,0.0414201183,0.0059171598,0.7573964497,0.0591715976
war,5,1,11,0,2,2,130,22,167,0,,0.0658682635,0,0.0119760479,0.0119760479,0.7784431138,0.1317365269
mouth,3,1,4,0,1,1,148,10,164,0,,0.0243902439,0,0.006097561,0.006097561,0.9024390244,0.0609756098
knew,0,1,3,0,2,2,148,9,164,0,,0.0182926829,0,0.012195122,0.012195122,0.9024390244,0.0548780488
heartbroken,5,1,3,0,13,1,138,8,163,0,,0.018404908,0,0.0797546012,0.0061349693,0.8466257669,0.0490797546
long,0,1,1,0,6,2,152,2,163,0,,0.0061349693,0,0.036809816,0.0122699387,0.9325153374,0.0122699387
big,0,1,17,1,13,9,154,25,219,0,,0.0776255708,0.00456621,0.0593607306,0.0410958904,0.703196347,0.1141552511
used chemical weapons,1,3,31,3,0,0,161,20,215,0,,0.1441860465,0.0139534884,0,0,0.7488372093,0.0930232558
using chemical weapons,1,3,19,4,0,0,149,8,180,0,,0.1055555556,0.0222222222,0,0,0.8277777778,0.0444444444
chemical weapons,1,2,24,5,0,1,153,11,194,0,,0.1237113402,0.0257731959,0,0.0051546392,0.7886597938,0.0567010309
press secretary,0,2,84,7,0,2,128,12,233,0,,0.3605150215,0.0300429185,0,0.008583691,0.5493562232,0.0515021459
foreign policy,0,2,10,13,0,0,164,10,197,0,,0.0507614213,0.0659898477,0,0,0.8324873096,0.0507614213
use chemical weapons,1,3,31,14,0,2,442,14,503,0,,0.0616302187,0.027833002,0,0.0039761431,0.8787276342,0.027833002
gas chambers,0,2,9,27,0,7,190,5,238,0,,0.0378151261,0.1134453782,0,0.0294117647,0.7983193277,0.0210084034
eric trump says,5,3,20,125,0,0,1,16,162,0,,0.1234567901,0.7716049383,0,0,0.0061728395,0.0987654321
former trump,0,2,12,165,0,0,0,4,181,0,,0.0662983425,0.9116022099,0,0,0,0.0220994475
