,TweetSentence,annotation,calai_candidates,entry_batch,hashtags,phase1Candidates,ritter_candidates,sentID,stanford_candidates,start_time,tweetID,user
33,"Buh bye, Carter.",['carter'],"['carter page', 'fbi', 'chris hayes']",0.0,nan,Carter::*2*||,"['chris hayes', 'carter page', 'carter']",1,"['chris hayes', ' carter', 'fbi']",2019-01-27 13:18:16.708532,23,TrumpHaterShirt
34,FBI obtained FISA warrant to monitor former Trump adviser Carter Page.,"['fbi', 'fisa', 'trump', 'carter page']","['adviser', 'carter page', 'fbi']",0.0,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,"['fbi', 'trump', 'carter page']",0,"['fbi', 'fisa', 'trump', 'carter page.']",2019-01-27 13:18:16.709885,24,christineltroch
35,This is huge.,[],['us'],0.0,nan,,[],0,"['fisa', 'us']",2019-01-27 13:18:16.710695,25,racheline_m
36,Bar for a FISA warrant targetting US person is knowingly acting as foreign agent in a way that violates,"['fisa', 'us']",['us'],0.0,nan,FISA::*3*||US::*6*||,[],1,"['fisa', 'us']",2019-01-27 13:18:16.710695,25,racheline_m
37,Umm.,[],[],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.711692,26,JetlifeMegs
38,Should we tell him he's delusional?,[],[],0.0,nan,,[],1,[],2019-01-27 13:18:16.711692,26,JetlifeMegs
39,"Sean Spicer mis-spoke, Libs loved it, yet forget the DOJ still worked all day on indictments","['sean spicer', 'doj']","['doj', 'carter page', 'sean spicer']",0.0,hardball,Sean Spicer::*0*1*||Libs::*3*||DOJ::*9*||,"['sean spicer', 'libs', 'carter page']",0,"['sean spicer', 'doj', 'carter page']",2019-01-27 13:18:16.712166,27,DCjusticeseeker
40,Carter Page,['carter page'],"['doj', 'carter page', 'sean spicer']",0.0,hardball,nan,"['sean spicer', 'libs', 'carter page']",1,"['sean spicer', 'doj', 'carter page']",2019-01-27 13:18:16.712166,27,DCjusticeseeker
41,@mcspocky Looks like Carter Page will be one of the first dominoes to fall.,['carter page'],"['carter page', 'syria']",0.0,nan,Looks::*1*||Carter Page::*3*4*||,"['carter page', 'syria']",0,"['carter page', 'syria']",2019-01-27 13:18:16.713171,28,JrgLaw
42,The Syria strike was a distraction away from .,['syria strike'],"['carter page', 'syria']",0.0,nan,Syria::*1*||,"['carter page', 'syria']",1,"['carter page', 'syria']",2019-01-27 13:18:16.713171,28,JrgLaw
43,Stay focused,[],"['carter page', 'syria']",0.0,nan,,"['carter page', 'syria']",2,"['carter page', 'syria']",2019-01-27 13:18:16.713171,28,JrgLaw
44,FBI secured FISA warrant against Carter Page over concerns he was 'was acting as an agent' of Russia | Raw Story,"['fbi', 'fisa', 'carter page', 'russia']","['russia', 'fbi', 'carter page']",0.0,nan,FISA::*2*||Carter Page::*5*6*||Russia::*17*||Raw Story::*19*20*||,"['carter page', 'russia']",0,"['fbi', 'fisa', 'carter page', 'russia']",2019-01-27 13:18:16.714480,29,blazinbabs67
45,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in...  by  via @c0nvey,"['fbi', 'fisa', 'trump', 'carter page']","['adviser', 'fbi', 'carter page']",0.0,_flanders,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||,"['fbi', 'trump', 'carter page']",0,"['fbi', 'fisa', 'trump']",2019-01-27 13:18:16.715554,30,Sparblack1213
46,@seanhannity what about this spy...,[],['this spy'],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.716635,31,pigs_wing
47,Oh you don't say?,[],[],0.0,nan,,[],0,[],2019-01-27 13:18:16.716856,32,DixiDoodle
48,@FoxNews @dkrwilliams @oreillyfactor WaPo: FBI wiretapped Trump sorta-adviser Carter Page in 2016.,"['fbi', 'trump', 'carter page']","['carter page', 'fbi']",0.0,nan,WaPo::*3*||FBI::*4*||Trump::*6*||Carter Page in 2016::*8*9*10*11*||,"['fbi', 'carter page', 'fisa', 'dems', 'obama']",0,"['fbi', 'trump']",2019-01-27 13:18:16.717161,33,glennyork
49,'Only  American directly targeted with FISA warrant' by Dems &amp; Obama!,"['american', 'fisa', 'dems', 'obama']","['carter page', 'fbi']",0.0,nan,American::*1*||FISA::*5*||Dems::*8*||Obama::*10*||,"['fbi', 'carter page', 'fisa', 'dems', 'obama']",1,"['fbi', 'trump']",2019-01-27 13:18:16.717161,33,glennyork
50,carter page you dumbass.,['carter page'],"['carter page', 'carter page']",0.0,nan,nan,"['carter page', 'carter', 'carter page']",0,[],2019-01-27 13:18:16.718886,34,LydiaBurrell
51,c'mon carter.,['carter'],"['carter page', 'carter page']",0.0,nan,nan,"['carter page', 'carter', 'carter page']",1,[],2019-01-27 13:18:16.718886,34,LydiaBurrell
52,get a clue carter page,['carter page'],"['carter page', 'carter page']",0.0,nan,nan,"['carter page', 'carter', 'carter page']",2,[],2019-01-27 13:18:16.718886,34,LydiaBurrell
53,Well at least this takes the heat off @PressSec,[],[],0.0,nan,,[],0,[],2019-01-27 13:18:16.719144,35,LisaBednarski
54,But Carter Page was Manafort's biz partner so he could have been caught in the surveillance,"['carter page', 'manafort']",['carter page'],0.0,nan,Carter Page::*1*2*||Manafort's::*4*||,['carter page'],0,['carter page'],2019-01-27 13:18:16.719577,36,omyword
55,Most delicious part of the WaPo Carter Page story.,"['wapo', 'carter page']",[],0.0,nan,WaPo Carter Page::*5*6*7*||,['carter page'],0,['wapo'],2019-01-27 13:18:16.720362,37,HaroldItz
56,FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['adviser', 'the washington post', 'the washington post', 'fbi', 'carter page']",0.0,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*13*14*||,"['fbi', 'trump', 'carter page', 'the washington post']",0,"['fbi', 'fisa', 'trump', 'washington post']",2019-01-27 13:18:16.720970,38,RadioChio
57,So what will be the fate of Carter Page?,['carter page'],"['carter page', 'he']",0.0,inners,Carter Page::*7*8*||,['carter page'],0,['carter'],2019-01-27 13:18:16.721998,39,MeLoseBrainUhOh
58,"Will he be mysteriously poisoned or accidentally ""fall"" out of a 4th-story window?",[],"['carter page', 'he']",0.0,inners,4th-story::*11*||,['carter page'],1,['carter'],2019-01-27 13:18:16.721998,39,MeLoseBrainUhOh
59,We now return to or regularly scheduled program.,[],[],0.0,TrumpRussia,,[],0,[],2019-01-27 13:18:16.723087,40,RyGil01
60,"Drips become waterfall, part I.",[],[],0.0,nan,,[],0,[],2019-01-27 13:18:16.723466,41,charnesshartman
61,and again a bang up job by jim comey letting the public know who was under investigation last summer,['jim comey'],[],0.0,nan,nan,['jim'],0,[],2019-01-27 13:18:16.723802,42,marcushjohnson
62,@ funder,[],[],0.0,"TrumpRussia, TheResistance",nan,[],0,[],2019-01-27 13:18:16.723986,43,NoAltFacts1984
63,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page...  by  via @c0nvey,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'trump adviser', 'carter page']",0.0,sarahsettgo,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||,"['fbi', 'trump', 'carter page']",0,"['fbi', 'fisa', 'trump', 'carter']",2019-01-27 13:18:16.724157,44,StonZMGMT
64,Back on the front page where it belongs.,[],[],0.0,nan,,[],0,[],2019-01-27 13:18:16.725257,45,ZazuRules
65,It should only be a few minutes before the next crazy diversion.,[],[],0.0,nan,,[],1,[],2019-01-27 13:18:16.725257,45,ZazuRules
66,FBI obtained a FISA warrant last summer to monitor Trump adviser Carter Page...  by  via @c0nvey,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'trump adviser', 'carter page']",0.0,thingsweheart,FISA::*3*||Trump::*9*||Carter Page::*11*12*||,"['fbi', 'trump', 'carter page']",0,"['fbi', 'fisa', 'trump', 'carter']",2019-01-27 13:18:16.726036,46,DecentFida
67,GOP and DEM Sorosian trolls out in full force 2 keep Carter Page from trending ps does George have healthcare perks?,"['gop', 'dem', 'sorosian', 'carter page', 'george', 'healthcare']","['carter page', 'healthcare', 'gop']",0.0,nan,DEM Sorosian::*2*3*||Carter Page::*11*12*||George::*17*||,"['dem sorosian', 'carter page', 'george']",0,"['gop', 'george']",2019-01-27 13:18:16.727072,47,tiwhitter
68,Ahh...,[],[],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.728067,48,pammy_facepaint
69,hello?,[],[],0.0,nan,,[],1,[],2019-01-27 13:18:16.728067,48,pammy_facepaint
70,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a probe of campaign’s Russia ties,"['fbi', 'fisa', 'trump', 'carter page', 'russia']","['russia', 'fbi', 'carter page', 'adviser']",0.0,nan,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||Russia::*19*||,"['fbi', 'trump', 'carter page', 'russia']",0,"['fbi', 'fisa', 'trump', 'carter page', 'russia']",2019-01-27 13:18:16.728400,49,kwanzer
71,"Carter Page claims the FBI/JD wire tap is just like when the FBI tapped Dr.King... yeah, brah, just like that...except not in every way.","['carter page', 'fbi', 'jd', 'fbi', 'dr.king']","['carter page', 'fbi', 'fbi', 'king']",0.0,nan,Carter Page::*0*1*||FBI::*4*||JD::*5*||FBI::*13*||Dr.King::*15*||,"['carter page', 'fbi', 'king']",0,"['carter page', 'fbi']",2019-01-27 13:18:16.729568,50,Aarapparent
72,FBI obtained FISA warrant to monitor former Trump adviser Carter Page via /r/politics,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'carter page', 'adviser']",0.0,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,"['fbi', 'trump', 'carter page']",0,"['fbi', 'fisa', 'trump']",2019-01-27 13:18:16.730876,51,SubPolitics
73,A FISA warrant against US national requires evidence they knowingly participated in clandestine intel ops.,"['fisa', 'us']",['us'],0.0,nan,FISA::*1*||US::*4*||,['us national'],0,['us'],2019-01-27 13:18:16.731748,52,BrianNormoyle
74,@rideatdawn Nah... hack dossier damn it!,[],[],0.0,nan,,[],0,[],2019-01-27 13:18:16.732503,53,EricJGilbert
75,This Breitbart guy.,['breitbart'],[],0.0,nan,Breitbart::*1*||,[],0,['breitbart'],2019-01-27 13:18:16.732893,54,snottypants
76,"If Nunes saw Carter Page unmasked on a FISA warrant, no wonder he ran to the White House...wonder what else he saw?","['nunes', 'fisa', 'carter page', 'white house']","['carter page', 'white house']",0.0,nan,Nunes::*1*||Carter Page::*3*4*||FISA::*8*||White House::*16*17*||,"['nunes', 'carter page', 'white house']",0,"['nunes', 'carter page', 'schiff']",2019-01-27 13:18:16.733286,55,spokanetom
77,Rep Schiff do your thing,['rep schiff'],"['carter page', 'white house']",0.0,nan,Rep Schiff::*0*1*||,"['nunes', 'carter page', 'white house']",1,"['nunes', 'carter page', 'schiff']",2019-01-27 13:18:16.733286,55,spokanetom
78,@united just gave lifetime premier status to @PressSec and Carter Page.,['carter page'],['carter page'],0.0,nan,Carter Page::*9*10*||,['carter page'],0,['carter page.'],2019-01-27 13:18:16.734740,56,BrianWithAnE
79,FBI obtained FISA warrant to monitor former Trump adviser Carter Page,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'carter page', 'adviser']",0.0,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||,"['fbi', 'trump', 'carter page']",0,"['fbi', 'fisa', 'trump', 'carter page']",2019-01-27 13:18:16.735295,57,ele_wolfe
80,"But the problem is the leaks, right 45?",[],[],0.0,nan,,[],0,[],2019-01-27 13:18:16.736071,58,mdh9876
81,@RDebag @jaketapper @MichLKosinski Like I said (and the FBI said) Zero evidence.,['fbi'],"['carter page', 'fbi']",0.0,nan,FBI::*8*||Zero::*10*||,['carter page'],0,['fbi'],2019-01-27 13:18:16.736633,59,Inglorious123
82,Just BS conjecture.,[],"['carter page', 'fbi']",0.0,nan,,['carter page'],1,['fbi'],2019-01-27 13:18:16.736633,59,Inglorious123
83,Is carter page being charged?,['carter page'],"['carter page', 'fbi']",0.0,nan,,['carter page'],2,['fbi'],2019-01-27 13:18:16.736633,59,Inglorious123
84,No.,[],"['carter page', 'fbi']",0.0,nan,nan,['carter page'],3,['fbi'],2019-01-27 13:18:16.736633,59,Inglorious123
85,The walls inch ever closer.,[],[],0.0,"TrumpRussia, LoserPOTUS",,[],0,[],2019-01-27 13:18:16.737785,60,BillSchultzeJr
86,"Hang in there, folks.",[],[],0.0,"TrumpRussia, LoserPOTUS",,[],1,[],2019-01-27 13:18:16.737785,60,BillSchultzeJr
87,Stay focused on  and  will be gone soon.,[],[],0.0,"TrumpRussia, LoserPOTUS",,[],2,[],2019-01-27 13:18:16.737785,60,BillSchultzeJr
88,Enough of  and  let's get back to the basics,[],[],0.0,"spicer, SyriaStrikes, TrumpRussiaCollusion",,[],0,[],2019-01-27 13:18:16.738612,61,RobertDriemeyer
89,"""Carter Page""",['carter page'],[],0.0,nan,nan,['carter page'],0,[],2019-01-27 13:18:16.739094,62,justsickoflies
90,Comrade Comey did as his Puppet Master ordered.,"['comrade comey', 'puppet master']",['comey'],0.0,nan,Comrade Comey::*0*1*||Puppet Master::*5*6*||,[],0,['comey'],2019-01-27 13:18:16.739321,63,truth_trumpet
91,@FoxNews @dkrwilliams @oreillyfactor FBI  / Hillary's Andrew McCabe was secretly working with Lynch/Obama/Rice to spy on Donald Trump team VIA any means necessary!,"['fbi', 'hillary', 'andrew mccabe', 'lynch', 'obama', 'rice', 'donald trump']","['andrew mccabe', 'carter page', 'fbi']",0.0,nan,FBI::*3*||Hillary's Andrew McCabe::*5*6*7*||Lynch::*12*||Obama::*13*||Rice::*14*||Donald Trump::*18*19*||,"['fbi', 'hillary', 'andrew mccabe', 'donald trump', 'carter page']",0,"['fbi', 'andrew mccabe', 'donald trump']",2019-01-27 13:18:16.739903,64,glennyork
92,Carter Page,['carter page'],"['andrew mccabe', 'carter page', 'fbi']",0.0,nan,nan,"['fbi', 'hillary', 'andrew mccabe', 'donald trump', 'carter page']",1,"['fbi', 'andrew mccabe', 'donald trump']",2019-01-27 13:18:16.739903,64,glennyork
93,Here we go again...,[],[],0.0,nan,,[],0,[],2019-01-27 13:18:16.741537,65,WhyAsk65
94,FISA court granted FBI authority to monitor Trump adviser Carter Page during campaign:  via @slate,"['fisa', 'fbi', 'trump', 'carter page']","['fisa court', 'fbi', 'carter page', 'adviser']",0.0,nan,FBI::*3*||Trump::*7*||Carter Page::*9*10*||,"['trump', 'carter page']",0,"['fbi', 'trump', 'carter page']",2019-01-27 13:18:16.741857,66,slatest
95,So proof that Trump's team was colluding with the Russians,"['trump', 'russians']",[],0.0,nan,Trump's::*3*||Russians::*9*||,['trump'],0,[],2019-01-27 13:18:16.742760,67,Karadur_Zero
96,Well...,[],[],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.743408,68,DalanOverstreet
97,Who Is Carter Page?,['carter page'],"['carter page', 'adviser']",0.0,"inners, msnbc, cnn",nan,['carter page'],0,"['carter', 'trump adviser.']",2019-01-27 13:18:16.743620,69,BlackJesuscom
98,A Liar.,[],"['carter page', 'adviser']",0.0,"inners, msnbc, cnn",nan,['carter page'],1,"['carter', 'trump adviser.']",2019-01-27 13:18:16.743620,69,BlackJesuscom
99,8 Things You Need to Know About the Former Trump Adviser.,['trump'],"['carter page', 'adviser']",0.0,"inners, msnbc, cnn",nan,['carter page'],2,"['carter', 'trump adviser.']",2019-01-27 13:18:16.743620,69,BlackJesuscom
100,He's busy trying to destroy the lives of minorities across the country.,[],[],0.0,nan,,[],0,[],2019-01-27 13:18:16.744137,70,jmichaelkell
101,Sure hope he does and soon.,[],[],0.0,nan,,[],0,[],2019-01-27 13:18:16.744636,71,sdbees1953
102,Page again.,['page'],[],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.745060,72,DonnaJo1002
103,Poor guy…,[],[],0.0,nan,,[],1,[],2019-01-27 13:18:16.745060,72,DonnaJo1002
104,imagine trying to spin this as good for Trump,['trump'],[],0.0,nan,Trump::*8*||,['trump'],0,['trump'],2019-01-27 13:18:16.745458,73,Philatticus
105,this might be the worst thing thats come out so far,[],[],0.0,nan,,['trump'],1,['trump'],2019-01-27 13:18:16.745458,73,Philatticus
106,FBI obtained a FISA warrant on Carter Page (former Trump advisor) on basis of probable cause he was operating as a foreign Russia agent.,"['fbi', 'fisa', 'carter page', 'trump', 'russia']","['advisor', 'fbi', 'russia']",0.0,nan,FISA::*3*||Carter Page::*6*7*||Trump::*9*||Russia::*22*||,"['fbi', 'carter page', 'russia']",0,"['fbi', 'fisa', 'russia']",2019-01-27 13:18:16.746307,74,dnmilikan
107,@politicques They tried to say they'd never even heard the name Carter Page!,['carter page'],"['carter page', 'him']",0.0,inners,Carter Page::*11*12*||,['carter page'],0,['carter'],2019-01-27 13:18:16.747649,75,NoctilucentClou
108,I saw 45* call him by name as a way to impress.,[],"['carter page', 'him']",0.0,inners,,['carter page'],1,['carter'],2019-01-27 13:18:16.747649,75,NoctilucentClou
109,Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser - Fox News The  is deep.,"['carter page', 'fbi', 'fisa', 'fox news']","['carter page', 'adviser', 'fbi']",0.0,"swamp, DTS",Carter Page::*0*1*||FBI::*2*||FISA::*5*||Fox News::*12*13*||,"['carter page', 'fox news the']",0,"['carter', 'fbi', 'fisa']",2019-01-27 13:18:16.748729,76,trmcolorado
110,Happy Passover...,['passover'],['passover'],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.749705,77,Analogbear
111,Why did James Comey cover this up while writing the letter about Hillary's emails?,"['comey', 'james comey', 'hillary']","['director for election tampering too', 'fbi', 'james comey']",0.0,nan,James Comey::*2*3*||Hillary's::*12*||,"['james', 'hillary']",0,"['james comey', 'fbi']",2019-01-27 13:18:16.749939,78,drhug
112,Investigate the FBI Director for election tampering too.,['fbi'],"['director for election tampering too', 'fbi', 'james comey']",0.0,nan,Investigate the FBI Director::*0*1*2*3*||,"['james', 'hillary']",1,"['james comey', 'fbi']",2019-01-27 13:18:16.749939,78,drhug
113,@JoeNBC Spicy has been an idiot from day1.,['spicy'],['carter page'],0.0,nan,Spicy::*1*||,"['carter page', 'joe']",0,[],2019-01-27 13:18:16.751241,79,mikeinbama
114,"Carter Page on the other hand is going to snitch.Hey Joe, I'm looking forward to your spin in the morning",['carter page'],['carter page'],0.0,nan,Carter Page::*0*1*||Joe::*10*||,"['carter page', 'joe']",1,[],2019-01-27 13:18:16.751241,79,mikeinbama
115,Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump┬áadviser,"['carter page', 'fbi', 'fisa']","['carter page', 'fbi']",0.0,nan,Carter Page::*0*1*||FBI::*2*||FISA::*5*||,['carter page'],0,"['carter', 'fbi', 'fisa']",2019-01-27 13:18:16.752772,80,Siddharthjrs
116,"It's like Office Space: Each day is worse than the last, so you're always seeing the Trump administration at its lowest point!",['trump'],['trump administration'],0.0,nan,Office Space::*2*3*||Trump::*16*||,['office space'],0,['trump'],2019-01-27 13:18:16.753773,81,adammc123
117,Carter Page lived in Russia for awhile.,"['carter page', 'russia']","['carter page', 'russia']",0.0,FBI,Carter Page::*0*1*||Russia::*4*||,"['carter page', 'russia', 'trump']",0,"['carter page', 'russia', 'trump']",2019-01-27 13:18:16.754852,82,shortreddog
118,Very close to them.,[],"['carter page', 'russia']",0.0,FBI,,"['carter page', 'russia', 'trump']",1,"['carter page', 'russia', 'trump']",2019-01-27 13:18:16.754852,82,shortreddog
119,Trump said early on he was going to use Page as foreign policy expert.,"['trump', 'page']","['carter page', 'russia']",0.0,FBI,Page::*9*||,"['carter page', 'russia', 'trump']",2,"['carter page', 'russia', 'trump']",2019-01-27 13:18:16.754852,82,shortreddog
120,Just when the Trump admin gets its very shaky footing.,['trump'],"['carter page', 'susan rice']",0.0,Day82,Trump::*3*||,"['trump', 'carter page', 'russians', 'susan rice']",0,"['trump', 'nunes', 'susan rice']",2019-01-27 13:18:16.756176,83,Gratkin
